"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
1,8150.4072920607,8164.43069988736,8179.87315902132,8182.60071942919,8194.81941032542,8207.0757647093
2,8150.40732251676,8164.43531932138,8179.87919488703,8182.6075210765,8194.82604423599,8207.08260398059
3,8150.40734757977,8164.43529290214,8179.87525787569,8182.60372965044,8194.82116453279,8207.07787899828
4,8150.40740189789,8164.44136389148,8179.8854977904,8182.61509726768,8194.83200360418,8207.08803037211
5,8150.40741548228,8164.44337154138,8179.88323416433,8182.61291411348,8194.82960094387,8207.08589281609
6,8150.4074556061,8164.44692452619,8179.88636602874,8182.61730551877,8194.83319685573,8207.08834490302
7,8150.40749348248,8164.45358783371,8179.89572011148,8182.62776064053,8194.84301194839,8207.09960367957
8,8150.40753485313,8164.45477258579,8179.8913244097,8182.62348140847,8194.83884513332,8207.09478290798
9,8150.4075712844,8164.460253557,8179.89714145581,8182.63026037757,8194.84478926106,8207.10045874128
10,8150.40762471638,8164.4631822778,8179.89715536459,8182.63086442538,8194.84409542241,8207.09874626989
11,8150.40764611017,8164.46717325254,8179.89542302068,8182.62966416716,8194.84286683116,8207.09676003276
12,8150.40769709889,8164.47363899073,8179.90019888091,8182.63544191181,8194.84844720933,8207.10243730623
13,8150.40773618429,8164.47675305698,8179.90394230662,8182.63979399322,8194.85177073363,8207.10596275001
14,8150.40778585391,8163.51971007064,8179.57037129329,8182.24131785074,8194.48047193777,8206.69228133562
15,8150.40781946641,8163.51988250469,8179.57086792693,8182.24208991767,8194.48133868559,8206.69348746611
16,8150.40785068967,8163.52003244867,8179.5717385434,8182.24322003596,8194.48224703247,8206.69607472714
17,8150.40790906702,8163.52021873615,8179.5720677986,8182.24384740695,8194.4827092276,8206.69760374255
18,8150.40791696273,8163.52039878694,8179.57319283858,8182.24528370106,8194.4838447582,8206.7009339218
19,8150.40793382381,8163.52055983883,8179.57469421955,8182.24714555777,8194.48548767133,8206.70522521309
20,8150.40794775436,8163.5207224891,8179.57690518984,8182.24967397171,8194.48769004522,8206.70886071865
21,8150.40797360403,8163.52091483052,8179.5786440524,8182.25156435655,8194.48909493111,8206.71351469763
22,8150.40797883116,8163.52107631263,8179.58018092053,8182.25355365795,8194.49086343962,8206.71700041614
23,8150.40800348902,8163.52124591107,8179.58145241227,8182.25518035928,8194.49211291846,8206.72113044467
24,8150.4080166112,8163.52142602983,8179.58305034597,8182.25706302253,8194.49359251576,8206.72461262093
25,8150.40804287811,8163.52163329946,8179.58432125284,8182.25853703248,8194.49472085958,8206.72812620584
26,8150.40804976883,8163.52176185657,8179.58634693224,8182.26100771193,8194.49703583513,8206.73279685292
27,8150.40807699143,8163.52196274907,8179.58777486833,8182.26270415994,8194.49843728084,8206.73624045216
28,8150.40809149574,8163.52215545626,8179.58928358633,8182.26448537974,8194.49977571945,8206.74012501491
29,8150.40810463787,8163.52233279441,8179.59035226837,8182.26581586161,8194.50071893014,8206.74301436865
30,8150.40811294278,8163.52248860919,8179.5920373071,8182.26780023421,8194.50231926414,8206.74730019965
31,8150.40812928212,8163.52264081373,8179.59362976247,8182.26990586611,8194.50428196822,8206.75064380145
32,8150.40809060934,8163.52271802458,8179.59490781157,8182.27152283601,8194.50561369203,8206.75263392065
33,8150.4080686584,8163.52283379875,8179.59621925416,8182.27328487825,8194.50730834106,8206.75497482852
34,8150.40804774765,8163.5229538066,8179.59689357346,8182.27461417662,8194.50864231053,8206.75634459034
35,8150.40803268444,8163.52305401537,8179.59867552264,8182.27687239826,8194.51061396136,8206.75936289829
36,8150.40800458118,8163.5231466639,8179.59984951795,8182.27862671795,8194.51219074122,8206.76158683164
37,8150.40799266036,8163.52323632907,8179.60143244143,8182.28067281956,8194.51397381779,8206.76431021195
38,8150.4079710343,8163.52336700013,8179.60233772665,8182.28216370862,8194.51530268914,8206.76564397119
39,8150.40793902628,8163.52344202847,8179.6040427281,8182.28444429948,8194.51731591578,8206.76852184513
40,8150.40792358903,8163.52357522057,8179.60495263195,8182.28592439622,8194.51870468747,8206.77038591299
41,8150.40790086595,8163.52368517016,8179.60649530969,8182.2879635607,8194.52043071789,8206.77305658999
42,8150.40787313856,8163.52376719939,8179.60773388625,8182.28977485028,8194.52213560399,8206.77519168919
43,8150.4078485595,8163.52388104643,8179.60899697107,8182.29158651549,8194.52370114474,8206.77706375412
44,8150.40782476269,8163.52398155748,8179.61014854203,8182.29333489672,8194.52534737523,8206.77907138313
45,8150.40780072401,8163.52410282297,8179.6114229555,8182.29505822977,8194.52686206974,8206.7817283491
46,8150.40777363832,8163.52420695689,8179.61245699665,8182.29665810033,8194.52823450929,8206.78356538158
47,8150.40776066558,8163.52432955926,8179.6136625573,8182.29839916074,8194.52984642178,8206.78556675334
48,8150.40773378809,8163.52444480684,8179.61513885053,8182.30035628771,8194.53144104734,8206.78821057548
49,8150.40770800792,8163.52456217084,8179.61611567804,8182.3019331579,8194.53305752818,8206.78952600564
50,8150.40766594541,8163.52466329947,8179.61772399997,8182.30420370043,8194.53502776811,8206.79261020271
51,8150.40764518447,8163.52481246194,8179.61818227093,8182.30523902516,8194.53580399511,8206.79472851963
52,8150.40763177661,8163.52496178476,8179.61948845789,8182.30730862981,8194.53750735829,8206.79689553637
53,8150.40798333341,8163.52576327372,8179.61969282832,8182.30798375932,8194.53788274835,8206.79767459912
54,8150.40911246452,8163.52784107392,8179.62027928868,8182.30874595447,8194.53821627972,8206.79661801484
55,8150.41029717013,8163.53004895096,8179.61987489617,8182.30849558196,8194.53758579723,8206.79524195797
56,8150.41157431094,8163.532375182,8179.61979173778,8182.30854509848,8194.53750958305,8206.79392536626
57,8150.41292291185,8163.53485732875,8179.6196569018,8182.30833634256,8194.53705003252,8206.79238356264
58,8150.4143776246,8163.53752803267,8179.61880184311,8182.30734144443,8194.53597889561,8206.78980187329
59,8150.41595241544,8163.54038461859,8179.61798132658,8182.30631857121,8194.53507315377,8206.78769018053
60,8150.41767828279,8163.54346500953,8179.61795400032,8182.30604592431,8194.53493232836,8206.78556609506
61,8150.41958001768,8163.54686082677,8179.61671212126,8182.30436498647,8194.53345581944,8206.78258791524
62,8150.42171606966,8163.55063782132,8179.61640156496,8182.30343859895,8194.53309707088,8206.7805009508
63,8150.42412664136,8163.55483550042,8179.61548890674,8182.30172972304,8194.53207811576,8206.7777065492
64,8150.42689662732,8163.5596172204,8179.61486726954,8182.30019433291,8194.53144586259,8206.77434596295
65,8150.43013960335,8163.5651613799,8179.61379576942,8182.29785716223,8194.53037027431,8206.77051950546
66,8150.4340177329,8163.57168110498,8179.61410183636,8182.29663066768,8194.53081776296,8206.7667572371
67,8150.43879885976,8163.57968392015,8179.61416915507,8182.29456071535,8194.531093882,8206.76269283264
68,8150.44144440242,8163.58629663594,8179.61588774839,8182.29317961974,8194.53412654019,8206.75947502491
69,8150.42957576881,8163.57786109737,8179.62302251976,8182.2938977711,8194.54806578193,8206.15496224191
70,8150.42193245712,8163.57152616432,8179.63752717819,8182.29943725444,8194.57158620154,8206.16488083508
71,8150.42416309395,8163.56939146997,8179.66372120739,8182.3115216079,8194.61134018564,8206.18117303517
72,8150.45356421298,8163.57827168388,8179.7238075498,8182.34352201842,8194.6982594716,8206.2174724751
73,8150.62195482018,8163.6613420838,8179.95079040166,8182.46891258092,8195.02581448133,8206.37393288785
74,8151.08095575194,8164.7209170289,8180.50250141922,8182.48557651845,8193.5980372404,8205.52472794203
75,8151.08704924764,8164.75252212026,8180.5777187599,8182.55809809866,8193.64983198859,8205.59143829665
76,8151.09272680241,8164.78641478605,8180.65774558142,8182.63537963315,8193.7049628458,8205.66155386074
77,8151.09798563027,8164.81939689631,8179.55063368262,8181.31780488719,8192.52347518292,8205.10552902721
78,8151.10280239056,8164.85601572381,8179.63019929307,8181.39298183209,8192.57440846679,8205.17782524252
79,8151.10881875224,8164.89447353918,8179.71754286826,8181.47593545652,8192.62973960813,8205.25912610748
80,8151.11610060447,8164.93843732374,8179.81966963351,8181.57319878913,8192.69787399694,8205.3576458157
81,8151.12268682872,8164.9843473275,8179.92780710729,8181.67646569884,8192.77214678607,8205.46388077784
82,8151.12848481792,8165.02941640544,8180.0407015158,8181.78453943894,8192.84711713999,8205.57442258544
83,8151.13330576658,8165.07905688789,8180.16437293882,8181.90334313092,8192.93400611984,8205.69895876899
84,8151.13710126502,8165.12568960188,8180.29257803084,8182.02683424366,8193.02578286584,8205.83190677915
85,8151.13952229488,8165.17765214035,8180.43473579771,8182.1645287224,8193.13165854671,8205.98286741228
86,8151.14055523145,8165.23192489695,8180.56468576556,8182.29112241125,8193.2168394644,8204.24598475071
87,8151.1398850033,8165.28417995429,8180.72774357936,8182.44948645859,8193.34217074642,8204.4112271482
88,8151.1372371905,8165.33984509143,8180.90921706171,8182.62627439457,8193.49196346013,8204.58918376475
89,8151.13240177896,8165.40060597548,8179.58686651865,8181.29750480768,8192.19405223429,8203.11830761215
90,8151.12499376811,8165.45961180154,8179.67819562821,8181.38329300909,8192.18752610678,8202.8146354877
91,8151.11471400056,8165.51955242354,8179.77335192597,8181.47310008184,8192.34247202502,8202.97208766258
92,8151.10114469731,8165.57949797917,8179.87083579869,8181.56552838675,8192.45772755891,8203.10036175055
93,8151.08379167657,8165.64697998433,8178.86527916813,8180.63316196572,8191.08818516791,8201.72890340883
94,8151.06227418052,8165.71405994055,8178.82573948749,8180.59808203237,8190.26600849589,8200.89558904312
95,8151.03603029064,8165.78597416709,8178.79202884641,8180.56735910217,8190.23396091376,8200.84839236667
96,8151.00450144634,8165.85572367043,8178.86239751009,8180.63486759399,8190.30130983515,8200.91556474679
97,8150.96707121903,8165.92892002076,8178.95149180134,8180.7215227876,8190.38125036907,8201.00460003109
98,8150.92315264536,8165.94225012284,8178.97028609774,8180.73481922278,8190.43014976539,8201.09008604449
99,8150.87203769965,8166.01638490839,8179.05707389652,8180.81758400782,8190.50245186403,8201.18086515454
100,8150.81304916399,8166.08706824325,8179.13976384198,8180.89760967841,8190.57685509118,8201.27451007021
101,8150.74563919924,8166.15108060386,8179.21480659431,8180.97142538478,8190.649029612,8201.3675663782
102,8150.66907015906,8166.22594844925,8179.30004534376,8181.05551564963,8190.73344742309,8201.47471200095
103,8150.53773158737,8166.28928540596,8179.30465176287,8181.06586214146,8190.74914797818,8201.51690830526
104,8150.32218223048,8166.33708556594,8179.1744753542,8180.95202353114,8190.64497251657,8201.44465804626
105,8150.08557596206,8166.39955615532,8179.01133145782,8180.80721267136,8190.50906348902,8201.34248290553
106,8149.82994384247,8166.45753285656,8178.75760236624,8180.57486274845,8190.25683245845,8201.11514836147
107,8149.55921196189,8165.87618149402,8178.22154567512,8180.04396388048,8189.31508581617,8200.01526704211
108,8149.27906458399,8165.68867796515,8177.84396883349,8179.70442718314,8188.9914118473,8199.74161241982
109,8148.997119648,8165.62994581791,8177.4828385507,8179.38024218001,8188.69862738058,8199.52569102099
110,8148.72276519389,8165.31345112754,8177.16853702547,8179.10619409927,8188.41035144603,8199.27075178514
111,8148.46602277975,8165.04259593781,8176.91659327796,8178.89820611873,8188.21221139534,8199.11205160009
112,8148.2368418497,8164.81294961293,8176.7349458849,8178.7628335477,8188.10184565278,8199.04102852283
113,8148.04393689035,8164.61874828898,8176.62834693572,8178.70384784946,8188.07994307289,8199.05413850196
114,8147.89360048885,8164.46449821036,8176.60384414512,8178.7275503854,8188.14874408804,8199.14970638396
115,8147.7892021206,8164.33652647822,8176.64904932924,8178.82147574895,8188.29559297054,8199.31371863042
116,8147.71625905227,8164.37526013551,8177.41306234073,8179.58017555267,8189.2016915287,8200.33522589476
117,8147.83087148107,8164.52653208398,8178.58907739984,8180.79440458079,8191.18227939792,8202.46922253647
118,8147.99400774411,8164.59314972062,8180.57518867635,8182.56512782197,8193.13590830822,8204.50501842273
119,8147.98117885498,8164.54568021555,8180.35721375165,8182.35538688359,8192.94075617541,8204.27840921304
120,8147.96052724566,8164.48146624468,8178.83464913966,8181.105165196,8191.92119165622,8203.28221198837
121,8147.93900338653,8164.41873875979,8178.54338989842,8180.81341819319,8191.62998346471,8202.94840223891
122,8147.91667151891,8164.34798747635,8178.24207954808,8180.51497451948,8191.33662618357,8202.60956601634
123,8147.89362889744,8164.27673594796,8177.94027119119,8180.21964648385,8191.04681611723,8202.2717411734
124,8147.87002148743,8164.20157318051,8177.63729498413,8179.92724546658,8190.76601922749,8201.94023806322
125,8147.84522088769,8164.11810403277,8177.32136566019,8179.62739342717,8190.48111877986,8201.60044043896
126,8147.81851228714,8164.02740253855,8176.98680195746,8179.31621736561,8189.25110101241,8200.40605676673
127,8147.79221156176,8163.93631014691,8176.6636707438,8179.02414391237,8188.96547434311,8200.08379144042
128,8147.76697375194,8163.84089698818,8176.35173496196,8178.75273704652,8188.70362454758,8199.78407953598
129,8147.74361405043,8163.76212579152,8176.07471177151,8178.52802795339,8188.49077000292,8199.53179312309
130,8147.72310210126,8163.67742912121,8175.80819571281,8178.32325863764,8188.30306508317,8199.30522838374
131,8147.71821313146,8163.31495253045,8174.99464486616,8177.61037458492,8187.84862656395,8198.83938979317
132,8147.71522142081,8163.16510063867,8174.74322849666,8177.32349583675,8187.56379751144,8198.57684036258
133,8147.71176499898,8163.00480523996,8174.50557112747,8177.04455468941,8187.29041420145,8198.33114725349
134,8147.70779470192,8162.83909209468,8174.28578850425,8176.77673157166,8187.03329836371,8198.10732157622
135,8147.70334445795,8162.66025400293,8174.0821365133,8176.41768004374,8186.65289851918,8197.60856236378
136,8147.69862989033,8161.13435656062,8173.68966337924,8176.03654753895,8186.33341770171,8197.21383084376
137,8147.6942675521,8161.13047253455,8173.62583424352,8175.94120652229,8186.26558413121,8197.02689849969
138,8147.69209545526,8161.138486744,8173.56604570033,8175.8103487906,8186.20093191726,8196.68092212889
139,8147.68590640516,8161.04913302314,8172.27781816119,8174.28996627525,8184.12792204569,8194.02599096227
140,8147.68232386185,8161.08435335804,8171.52805429377,8173.52256290595,8183.58170844121,8191.32311343999
141,8147.68319869069,8161.02007561778,8171.46652882662,8173.467923763,8183.4389406169,8190.75874739646
142,8147.68272807483,8160.99664047959,8171.47109365818,8173.47566953993,8183.39067895428,8190.70634831614
143,8147.68225936707,8160.99038402776,8171.47605661865,8173.48373180914,8183.34436586477,8190.66273604905
144,8147.681204957,8160.99518895692,8171.44545723057,8173.46463119898,8183.27051425342,8190.6019302655
145,8147.6778240377,8161.00289109021,8171.48894952288,8173.51393255118,8183.27473051196,8190.61992492378
146,8147.67355045813,8161.01136029102,8171.53088033177,8173.56140721399,8183.27596812184,8190.63900253221
147,8147.6694331645,8161.01929443578,8171.57672301171,8173.61279876884,8183.27878518062,8190.6650554343
148,8147.66548666583,8161.02748993013,8171.62839124915,8173.66981100052,8183.28532824571,8190.70083389582
149,8147.66171817741,8161.03621289974,8171.68730561855,8173.73391290938,8183.29750202889,8190.75003630746
150,8147.65812692649,8161.0461686649,8171.7529347284,8173.80442037048,8183.31448365141,8190.81269970366
151,8147.65473074201,8161.05756602389,8171.8273720911,8173.88325830647,8183.33801993805,8190.89322783345
152,8147.65152906693,8161.070979331,8171.91002674548,8173.96972987942,8183.36853527993,8190.9932943173
153,8147.64853697402,8161.0868513264,8172.00275480001,8174.06558130859,8183.40743656409,8191.11750494078
154,8147.64575874339,8161.10514635007,8172.10684502949,8174.17181914595,8183.45710597206,8191.2713785326
155,8147.6432028074,8161.12698067973,8172.22281295003,8174.28887467257,8183.51784220992,8191.45786960376
156,8147.64087219008,8161.15254825846,8172.34911225861,8174.41489048707,8183.58955009445,8191.68021768534
157,8147.63878504443,8161.18219982345,8172.48908029366,8174.55289347964,8183.55730078182,8190.7421756839
158,8147.63693935132,8161.21681728411,8172.6410608298,8174.70091365177,8183.67492414273,8190.87305406734
159,8147.63548742194,8161.25318874335,8172.01742395718,8174.07607073808,8183.05238769513,8190.16231201274
160,8147.63468063777,8161.28338109261,8171.99060823166,8174.05087938933,8183.02811070753,8190.13357045874
161,8147.63361679205,8161.32191797194,8171.96057710791,8174.02228494886,8183.00030104981,8190.10104414531
162,8147.63235378497,8161.37088106683,8171.93047512077,8173.99359001574,8182.97241597064,8190.06807033017
163,8147.63112642774,8161.43002245191,8171.35605765361,8173.40981812641,8182.37408338045,8189.43993026342
164,8147.62993982204,8161.50193879167,8171.4177912421,8173.47261780263,8182.43942848609,8189.50144339875
165,8147.62880042181,8161.58655184629,8171.47868455047,8173.53445115891,8182.50445786665,8189.56251046949
166,8147.62716950429,8161.68370428947,8171.54433067505,8173.60122173752,8182.57466070546,8189.62850783309
167,8147.6248679559,8161.79371083124,8171.61112768771,8173.66952211411,8182.64708534264,8189.69664298146
168,8147.62261577449,8161.9125194025,8171.67790452123,8173.73846209722,8182.64815708407,8189.76038551849
169,8147.62042754093,8162.03680897321,8171.74484388553,8173.80875570935,8182.72344687607,8189.82689150668
170,8147.61678443937,8162.14374992225,8171.79302611468,8173.86318706961,8182.78125402122,8189.88356791954
171,8147.61214308795,8162.23237135242,8171.82739496221,8173.90915669181,8182.82895763375,8190.15117451928
172,8147.60736496344,8162.31068985426,8171.8534286773,8173.95468438942,8182.87620528321,8190.26338161508
173,8147.60411448197,8162.39809127371,8171.97064156326,8174.10488880551,8183.02081460357,8190.44556869922
174,8147.60251619121,8162.47977720698,8172.13308797579,8174.328130466,8183.24126608286,8190.68242649118
175,8147.6049848502,8162.54440513296,8172.27104812248,8174.58059749061,8183.5210198213,8190.97038602971
176,8147.61480310715,8162.5552862574,8172.34355095002,8174.78445707834,8183.80070484154,8191.23033307302
177,8147.61605458132,8162.51899068978,8172.40979199877,8174.85092843266,8183.86383411359,8191.23101202346
178,8147.61746625637,8162.4789760137,8172.48090374381,8174.92221134495,8184.07907732555,8191.03165905318
179,8147.61911209211,8162.42459455939,8172.53855529674,8174.97948570658,8184.12871084852,8191.07296286775
180,8147.62116260763,8161.70243775132,8172.32814187436,8174.75377975749,8183.88122449277,8190.82523238277
181,8147.62394307926,8161.733067313,8172.28469153594,8174.70807279379,8183.83248992418,8190.77123745142
182,8147.62856525105,8161.75539048693,8170.56607159955,8173.01610992879,8182.22316007684,8189.28015927739
183,8151.86374600086,8166.53184890749,8175.34132247407,8178.42437355779,8188.38564177526,8195.38990466346
