"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
1,8147.43708958368,8156.19554490418,8168.07679615425,8176.75280847061,8201.64911580768,8218.1582302577
2,8147.43704552449,8156.19566542272,8168.0744610846,8176.74906903593,8201.64222958444,8218.15058613103
3,8147.4370149145,8156.19582594962,8168.07293624624,8176.74652799492,8201.63706350399,8218.14416523757
4,8147.4369839873,8156.19572847252,8168.07221023594,8176.74498923232,8201.63243892326,8218.13952589123
5,8147.43694462941,8156.19586802504,8168.0708009398,8176.7424898532,8201.62810641267,8218.13452505763
6,8147.43690517012,8156.19594604242,8168.07061265582,8176.74210703923,8201.62552914174,8218.13015659168
7,8147.43685817755,8156.19618530445,8168.06729992906,8176.73643280039,8201.61498923453,8218.11903924375
8,8147.43681836248,8156.19631291988,8168.06603880946,8176.73358096072,8201.60950928852,8218.1126765906
9,8147.43678146174,8156.19649387264,8168.06456185365,8176.73090124124,8201.60334770938,8218.10580010815
10,8147.43674153052,8156.19671024455,8168.06303954139,8176.72793905294,8201.59685418488,8218.09877695056
11,8147.43668638396,8156.19684838258,8168.06209955987,8176.72611944527,8201.59247132002,8218.09302551058
12,8147.43663271478,8156.19735023301,8168.05869866892,8176.72053616998,8201.58182278589,8218.08410387035
13,8147.4366016642,8156.1977048437,8168.05667067832,8176.7162388839,8201.57345536212,8218.07534326035
14,8147.43655643831,8156.19795611752,8168.05560444752,8176.714041651,8201.5679481308,8218.06974436426
15,8147.43650144737,8156.1896510938,8168.0365113247,8176.66490613927,8201.43398937815,8218.00105974017
16,8147.43645399246,8156.18938307504,8168.03697917824,8176.66510888817,8201.43451636596,8218.00006332111
17,8147.4364021141,8156.18939865406,8168.03754280787,8176.66582322214,8201.4352838369,8218.00165196055
18,8147.43634109361,8156.1891087482,8168.03799616812,8176.66609628111,8201.4363540707,8218.00624339937
19,8147.43628531535,8156.18883606201,8168.03860046129,8176.66674037117,8201.43771528374,8218.01209623561
20,8147.4362251088,8156.18860344766,8168.03879155966,8176.66682622132,8201.43847500521,8218.01680894592
21,8147.43617587409,8156.18834777511,8168.03983431432,8176.6678205255,8201.44066956461,8218.0218015222
22,8147.43611065665,8156.18808106538,8168.04056101889,8176.66840691788,8201.44186269651,8218.02760849304
23,8147.43605189763,8156.18787576498,8168.04077765188,8176.66844120549,8201.44259305014,8218.03202082625
24,8147.43600298744,8156.18761503532,8168.04154266091,8176.66943953263,8201.44448908003,8218.038748161
25,8147.43592849438,8156.18741551923,8168.04228726103,8176.67032555628,8201.4463433206,8218.04393255831
26,8147.43588074938,8156.18713128841,8168.04261731076,8176.67035491764,8201.44706862218,8218.04838350776
