"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
1,9203.28009537004,9224.56731301839,9253.85471976787,9256.19248983326,9271.97661733057,9285.3788865863
2,9203.28009721097,9224.56669067839,9253.85538154944,9256.19314553045,9271.97715059847,9285.37953141932
3,9203.28010979394,9224.56624512236,9253.85512634974,9256.19282125113,9271.97709512232,9285.37963522001
4,9203.28012742967,9224.56579376249,9253.85754400917,9256.19533582104,9271.97888376588,9285.38158634634
5,9203.28013393688,9224.56542221142,9253.8582708671,9256.1960704372,9271.97953336078,9285.38237019489
6,9203.28014921442,9224.56479626951,9253.85980108537,9256.19768197524,9271.98077276961,9285.38382442096
7,9203.28015591505,9224.56404541151,9253.86030875603,9256.19812696872,9271.98122115819,9285.38444496512
8,9203.28017357477,9224.56365648962,9253.86163044066,9256.19949235394,9271.98226151589,9285.38562408823
9,9203.28018717062,9224.56301210349,9253.86289006646,9256.20076982908,9271.98333578705,9285.38692672371
10,9203.28020341099,9224.56232391629,9253.86356727619,9256.20147349125,9271.98380088895,9285.38750388186
11,9203.28021276459,9224.56175686971,9253.86477436298,9256.20271450872,9271.98465640939,9285.38844406336
12,9203.28022978012,9224.56125600079,9253.86666681413,9256.20469947825,9271.98617402017,9285.39032570351
13,9203.28023948679,9224.56050226278,9253.86665306641,9256.20458048602,9271.98639473602,9285.39068797727
14,9203.28025834371,9224.55987982909,9253.86833963561,9256.20634475373,9271.98758690687,9285.39200523841
15,9203.28027235926,9224.55915616773,9253.8699291352,9256.20805170853,9271.98868525013,9285.3933693293
16,9203.28028299654,9224.55838903839,9253.86960732911,9256.20762220174,9271.98835881821,9285.39318383791
17,9203.28030649402,9224.55763110857,9253.87155651678,9256.20965606476,9271.98999651384,9285.39506222923
18,9203.28033222678,9224.55678857637,9253.87406581082,9256.21220292556,9271.99207071496,9285.39748598754
19,9203.28035619201,9224.55577465887,9253.87606958726,9256.21423647419,9271.99361096481,9285.3994914941
20,9203.28037952339,9224.5549270338,9253.87895973452,9256.21718305593,9271.99581997066,9285.40204678196
21,9203.28041204311,9224.55411515208,9253.87913212425,9256.2172825681,9271.99585279675,9285.40233444542
22,9203.28043583065,9224.55317167076,9253.88238563742,9256.22064221521,9271.99856039086,9285.40541874333
23,9203.28046254962,9224.55225608168,9253.88438920725,9256.22265811288,9272.0002194482,9285.40744675173
24,9203.28049307551,9224.55137535677,9253.88640759335,9256.22469358617,9272.00182913141,9285.40940805078
25,9203.28051685262,9224.55045699581,9253.88846844789,9256.2267742523,9272.00345682056,9285.41140797125
26,9203.28054399579,9224.54966600294,9253.89072647601,9256.22907875845,9272.00516447304,9285.41346271098
27,9203.28057166468,9224.54875718316,9253.8925250025,9256.23091716142,9272.00662079114,9285.41530920496
28,9203.28059640792,9224.54786679141,9253.894105115,9256.23252017972,9272.00778543174,9285.41680400785
29,9203.28061971728,9224.54692409146,9253.89633520768,9256.23477348651,9272.00952242143,9285.41887542174
30,9203.28064865445,9224.5460263508,9253.89771754292,9256.23612841833,9272.01073562436,9285.42058565694
31,9203.28064743003,9224.5452259583,9253.89974709278,9256.23825255781,9272.0120781696,9285.42215147178
32,9203.2806030805,9224.54454777495,9253.90083355075,9256.23936332102,9272.01272577992,9285.42315496215
33,9203.28056452499,9224.54384504323,9253.90224456224,9256.24085786547,9272.01362670198,9285.42427433292
34,9203.28052107519,9224.54306911796,9253.90542571064,9256.244267307,9272.01584258198,9285.42676425885
35,9203.28047259988,9224.54216862132,9253.90613498443,9256.24499629738,9272.01614154328,9285.42750683414
36,9203.28041859832,9224.54128945927,9253.90785896938,9256.24680786425,9272.01723376677,9285.42892158065
37,9203.28036907261,9224.54043411095,9253.90857805086,9256.24755874164,9272.01757457883,9285.42966407188
38,9203.28031671299,9224.53961998674,9253.91052884613,9256.24965686607,9272.01868627956,9285.43108348503
39,9203.28027119961,9224.53873579096,9253.91133810999,9256.25050583863,9272.01909935636,9285.43184367496
40,9203.28022476218,9224.53787811737,9253.91357278479,9256.25288465602,9272.02061616084,9285.43369754222
41,9203.28017190847,9224.53707236215,9253.91405349202,9256.25338237818,9272.02059632708,9285.43398419208
42,9203.28012511974,9224.53617899531,9253.91582523996,9256.25524419953,9272.02178382942,9285.43559906416
43,9203.28007330662,9224.53535047667,9253.91676657597,9256.25627089028,9272.02215156779,9285.43626939276
44,9203.28002577861,9224.53456251001,9253.91930960566,9256.25897241815,9272.02397108667,9285.43847035251
45,9203.27997825573,9224.5336449457,9253.91941638288,9256.25913687706,9272.02362471614,9285.43846551062
46,9203.27992445247,9224.53288148844,9253.9207494786,9256.26051884838,9272.02434922992,9285.43951239724
47,9203.27987666047,9224.5319860357,9253.921965043,9256.26184161709,9272.02504009806,9285.44060633702
48,9203.27983045496,9224.53121134463,9253.9225979064,9256.2625041561,9272.02520639173,9285.44107655627
49,9203.27977845146,9224.53037701212,9253.92510135508,9256.26524426565,9272.02680360618,9285.44308521357
50,9203.27971811067,9224.52940940498,9253.92573318234,9256.26587794512,9272.02689837193,9285.44358821818
51,9203.27966108616,9224.52851853178,9253.9254744198,9256.26567161807,9272.02610008049,9285.44311181373
52,9203.27961067255,9224.52758558263,9253.92710649257,9256.26749648506,9272.02699734396,9285.44438147139
53,9203.27968827505,9224.52538697735,9253.92820148197,9256.26874401734,9272.02790078491,9285.44597794586
54,9203.28003453205,9224.52055584291,9253.92863758119,9256.26939354831,9272.02892515975,9285.4484133018
55,9203.28041162182,9224.51568933927,9253.92989155475,9256.27085024268,9272.03086439299,9285.45191102871
56,9203.28081069418,9224.51083012663,9253.93125729251,9256.2724325859,9272.03282895062,9285.45544349843
57,9203.28124516078,9224.50581408037,9253.93153522486,9256.27288757148,9272.03420256239,9285.45859048219
58,9203.28171951695,9224.50077679682,9253.93233560935,9256.273856741,9272.03611767157,9285.46242325444
59,9203.28223954309,9224.49571002237,9253.93330868193,9256.27499886546,9272.03854206169,9285.46699892504
60,9203.28281953187,9224.49060671132,9253.93369679916,9256.27553383146,9272.04056805092,9285.47138274307
61,9203.28346505082,9224.48531135793,9253.93406756183,9256.27604699553,9272.04301974787,9285.47644700374
62,9203.28419817088,9224.4800243211,9253.93467453065,9256.27676749177,9272.04615399404,9285.48256369572
63,9203.28503804813,9224.47439239796,9253.9348951974,9256.27703292112,9272.04943564667,9285.48920426967
64,9203.28601497828,9224.46857636371,9253.93480522259,9256.27696798287,9272.05310832777,9285.49689312402
65,9203.28717356417,9224.4624449176,9253.93496125582,9256.27709894309,9272.05796397879,9285.5065145324
66,9203.28857361873,9224.45584362213,9253.93460376411,9256.27666106358,9272.06368225076,9285.51800908646
67,9203.29032296321,9224.44866429943,9253.93366265122,9256.27549327357,9272.07046713855,9285.53202636783
68,9203.2927465383,9224.44024550813,9253.93537624991,9256.2772584578,9272.08332017387,9285.55618669163
69,9203.29695199388,9224.42741434493,9253.94802379815,9256.29140370225,9272.11576710117,9285.61601711632
70,9203.30318510841,9224.41258474102,9253.96081206144,9256.30535431956,9272.15793361888,9285.69800906033
71,9203.31359632019,9224.39584752141,9253.97306019899,9256.31790021427,9272.21869976306,9285.82368961837
72,9203.33577748967,9224.38127122279,9253.98420736003,9256.3267031427,9272.33174396048,9286.03318744544
73,9203.42410100524,9224.44762826616,9254.02683140559,9256.35111384509,9272.74694524268,9286.87913781131
74,9204.00182649391,9225.03907732627,9250.53327941398,9252.51929712173,9264.21601288906,9274.55122235859
75,9203.98795524325,9225.02051192469,9250.06817035736,9252.07069269034,9263.7889511993,9274.07069495494
76,9203.97352902212,9225.00099088119,9250.06117833735,9252.06470604419,9263.81307349629,9274.10191604576
77,9203.95852957434,9224.98008041984,9250.05306492228,9252.05768817808,9263.83996630092,9274.13605710273
78,9203.94290760746,9224.95760775322,9250.04399963871,9252.04987639104,9263.87015213457,9274.17362080602
79,9203.92534539929,9224.93294677655,9250.03424444276,9252.04182073126,9263.90713838314,9274.21917217948
80,9203.90560032572,9224.90535365765,9250.02191815407,9252.0313050218,9263.9537714798,9274.27500735549
81,9203.88488302038,9224.87591510435,9250.00983794215,9252.02151269777,9264.0103894784,9274.34156232314
82,9203.86317069123,9224.84402039194,9249.99432821104,9252.0083759905,9264.07564682413,9274.41688289696
83,9203.84039234727,9224.81143357633,9249.97654947831,9251.99311278869,9264.15452506175,9274.50640029098
84,9203.81649289056,9224.7763951535,9249.95656898259,9251.97597826612,9262.94984234952,9273.24746835381
85,9203.79143065309,9224.73898906083,9249.93207561026,9251.95475715324,9262.9299299076,9273.23620849874
86,9203.76512708177,9224.70036845887,9249.90173869738,9251.92757073234,9262.90385142771,9273.21898053608
87,9203.73752880899,9224.42346909537,9249.31756373312,9251.17100462443,9262.11503711488,9272.25282728562
88,9203.7085948798,9224.40490880851,9248.11561529921,9250.01192331176,9260.97396190266,9271.09508380356
89,9203.678267666,9224.38586025466,9248.06846723959,9249.96046519573,9260.92568909205,9271.055233465
90,9203.64648014239,9224.36912454324,9248.01608994661,9249.90323401472,9260.87144788332,9271.00955667047
91,9203.61324288378,9224.35359370368,9247.95209229412,9249.834412955,9260.80538572485,9270.9526154642
92,9203.57849460399,9224.33708911219,9247.8698063123,9249.74804121061,9260.71077773038,9270.73893662389
93,9203.54221870581,9224.31757682772,9247.76669827505,9249.64600073473,9260.60959282583,9270.64866413908
94,9203.50441939725,9223.56616993484,9247.56172472358,9249.5048271468,9260.46016264696,9270.54566944171
95,9203.46513366644,9223.62454034894,9247.60498863299,9249.53973010249,9260.50215704427,9270.59253842469
96,9203.42439465813,9223.65612403672,9247.62443020303,9249.55046258023,9260.51772668673,9270.61048539262
97,9203.38233268496,9223.66752770725,9247.62367311063,9249.54181932048,9260.51286753328,9270.60804763304
98,9203.3390339512,9223.66258585241,9247.60632225392,9249.51732305232,9260.4910346924,9270.58869206989
99,9203.29472156578,9223.64252911941,9247.5747514877,9249.47983610367,9260.45499662178,9270.55555005478
100,9203.249618263,9223.60907687591,9247.52981400647,9249.43043657611,9260.40586903214,9270.50988295299
101,9203.20402861145,9222.63901074395,9246.83263280793,9248.83585301117,9259.72629764846,9269.80605500812
102,9203.15834953924,9222.62568550005,9246.83705848858,9248.84576641352,9259.73666326896,9269.8256714264
103,9203.1120426241,9222.61451139578,9246.84698058955,9248.86436221522,9259.75569381137,9269.85900526404
104,9203.06426850144,9222.60647733616,9246.86904061776,9248.90034702577,9259.7913810848,9269.91744603092
105,9203.01694659396,9222.60329938392,9246.90093903599,9248.94753141738,9259.83628351549,9269.98756761876
106,9202.97148490826,9222.60632331263,9246.94425420608,9249.00736717002,9259.89158300174,9270.07040326307
107,9202.92956335937,9222.61669871851,9247.00010705716,9249.08068584363,9259.95763073792,9270.16592394951
108,9202.89307387362,9222.6355127045,9247.06909787809,9249.16766550669,9260.03447250186,9270.27362519224
109,9202.86401995545,9222.66370531712,9247.15130678667,9249.26779653458,9260.12145902591,9270.39201624207
