"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
1,9322.91203676644,9351.1180294332,9367.53042949087,9373.84466782542,9384.18077623369,9395.213857534
2,9322.91207447181,9351.11832087822,9367.5308686729,9373.84523630772,9384.18128293904,9395.2141297035
3,9322.91212491655,9351.11818402916,9367.53034858153,9373.84476210903,9384.18082784113,9395.21367950072
4,9322.91219581577,9351.11764518229,9367.52948057332,9373.84406384679,9384.18019743292,9395.21290323429
5,9322.91223715658,9351.11835681023,9367.52945179583,9373.84406659543,9384.17999166004,9395.2125970747
6,9322.91230371045,9351.11778351429,9367.52850703211,9373.84323507203,9384.17925052031,9395.21176371264
7,9322.91236639433,9351.11788355006,9367.52789227709,9373.84271740968,9384.1785964789,9395.21102925536
8,9322.91243618932,9351.11792907591,9367.52712755961,9373.84205621909,9384.17797135418,9395.210308561
9,9322.9124917455,9351.11789682538,9367.52714622501,9373.84217548214,9384.17808537244,9395.21024285168
10,9322.91255419146,9351.11808434618,9367.52693418771,9373.84208782045,9384.17783960626,9395.20988614243
11,9322.91261793407,9351.11807644122,9367.52594785089,9373.84117825129,9384.17706935405,9395.20900090858
12,9322.91269283629,9351.11824240195,9367.52550152528,9373.84083840404,9384.17659629703,9395.20834278551
13,9322.9127498961,9351.11809667883,9367.52487701525,9373.84032782488,9384.17600156249,9395.20770524352
14,9322.91282122507,9351.11801777765,9367.52433467137,9373.83992506137,9384.17565043996,9395.20718362029
15,9322.91290200121,9351.11814823221,9367.52375949726,9373.83951068099,9384.17517739729,9395.20652364576
16,9322.91297084252,9351.11818882958,9367.52332135869,9373.83917576193,9384.1748612547,9395.20612908358
17,9322.91304978324,9351.11823176892,9367.52243135926,9373.83838261904,9384.17413450811,9395.20532075201
18,9322.91315016563,9351.11858443274,9367.52127291948,9373.83739782554,9384.17336119951,9395.20455712528
19,9322.91325961981,9351.11873330393,9367.51952747386,9373.83573759339,9384.17204525965,9395.20339693354
20,9322.91337716816,9351.11894789388,9367.51828390678,9373.83467252607,9384.17126497159,9395.20263403342
21,9322.913470421,9351.11906810948,9367.51684835446,9373.83331780133,9384.17025130891,9395.20181326045
22,9322.9135648008,9351.11901351551,9367.51516138121,9373.83179159492,9384.16896232653,9395.20055676635
23,9322.91368255165,9351.11955861176,9367.5137942413,9373.83051912406,9384.16788771076,9395.19967386039
24,9322.91377498467,9351.11961451133,9367.51261602148,9373.82947644146,9384.16720893184,9395.19908311806
25,9322.91389469486,9351.11956633609,9367.51058806812,9373.82755810681,9384.1655886711,9395.19763194878
26,9322.91399850175,9351.12010002128,9367.50949834709,9373.82662921616,9384.16490460137,9395.19698661824
27,9322.91409230473,9351.12028163698,9367.50811669041,9373.82535603931,9384.16388295006,9395.19605162413
28,9322.91420987722,9351.12025901845,9367.50618000483,9373.82349664099,9384.16230726241,9395.19466588373
29,9322.9142998643,9351.1205132851,9367.50568210637,9373.82317223965,9384.1622419614,9395.1945855835
30,9322.91440639204,9351.12066970452,9367.50413470377,9373.82172461129,9384.16111601891,9395.19361051287
31,9322.91449353901,9351.12084719406,9367.50243762162,9373.82015045413,9384.15961363093,9395.19213359345
32,9322.91454997372,9351.12106384648,9367.50195720539,9373.81987886175,9384.15919900176,9395.19155582015
33,9322.9146158794,9351.12098146911,9367.50126225659,9373.81941213591,9384.1587564351,9395.19088847929
34,9322.91467772586,9351.12141989534,9367.50006132675,9373.81841495769,9384.15752540647,9395.18951955476
35,9322.91475424727,9351.12121263109,9367.49957464345,9373.81815349879,9384.15733686627,9395.18907352673
36,9322.91482142884,9351.12138145221,9367.49868571201,9373.81743200175,9384.15653296156,9395.18805278645
37,9322.91488691661,9351.12161235189,9367.4979263548,9373.81690073586,9384.15587900833,9395.18727616482
38,9322.91497127341,9351.12140975837,9367.49689243655,9373.81607542799,9384.1550251037,9395.18615766131
39,9322.91502884584,9351.12175912421,9367.49631871511,9373.81570176653,9384.15460418591,9395.18556012691
40,9322.91510234056,9351.12192267869,9367.49517737379,9373.81474430159,9384.15348611965,9395.18425631459
41,9322.91518095003,9351.12190124912,9367.4942010332,9373.8139366678,9384.15274701406,9395.18338160441
42,9322.91524606597,9351.12206403917,9367.49346611586,9373.81341908612,9384.15203215282,9395.18249195905
