"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
1,9383.33669800278,9404.98119003693,9415.81603771618,9423.4637137985,9435.70163480601,9455.48678938046
2,9383.33672284721,9404.98119087909,9415.81592229815,9423.46374339717,9435.70160253875,9455.48664684534
3,9383.33677720077,9404.98111599556,9415.81475339202,9423.46270404294,9435.70048420101,9455.48535569635
4,9383.33682510152,9404.98126461179,9415.81577118936,9423.46377935262,9435.70164721162,9455.48649069295
5,9383.33686859786,9404.98116515659,9415.81504270842,9423.46324215667,9435.70101581423,9455.48563091365
6,9383.33691703747,9404.98122948476,9415.81542067377,9423.46365275155,9435.70155516648,9455.48607937589
7,9383.33697533471,9404.98120359747,9415.81482488339,9423.46322979229,9435.70100542652,9455.48533530471
8,9383.33702528711,9404.98121468557,9415.81470432427,9423.46321779524,9435.70086028766,9455.48510841956
9,9383.33707183726,9404.98118641967,9415.81450033807,9423.46314852222,9435.70069517554,9455.48482234254
10,9383.33712924601,9404.98123479092,9415.81447934438,9423.46322641079,9435.7008464026,9455.48480089706
11,9383.33717904538,9404.98113035506,9415.81419773423,9423.46303629222,9435.70064840003,9455.48456145365
12,9383.3372273959,9404.98123276887,9415.81449603702,9423.46353002342,9435.70113843793,9455.48491479061
13,9383.33727893354,9404.9810882655,9415.81332494226,9423.4624739296,9435.69992801193,9455.48353930213
14,9383.33733161245,9404.98115927023,9415.81361465234,9423.46293046367,9435.70025371106,9455.48369595874
15,9383.33740057534,9404.9812294883,9415.81409383424,9423.4634880632,9435.70088939889,9455.48428820213
16,9383.33746408977,9404.9810779563,9415.81293134916,9423.46246069839,9435.69978777175,9455.48302168341
17,9383.33750651573,9404.98116681948,9415.81350051057,9423.46309336686,9435.70027675587,9455.48339492819
18,9383.33751901174,9404.98108485822,9415.8140740947,9423.46337349791,9435.70060235633,9455.48374867036
19,9383.33752808965,9404.98099410055,9415.81479564197,9423.46378700542,9435.70089981347,9455.48422357301
20,9383.33753134809,9404.98097354854,9415.81602551547,9423.46466948331,9435.70202433721,9455.4854186616
21,9383.33755846536,9404.98088311433,9415.81583453451,9423.46417612552,9435.7015806913,9455.48506715809
22,9383.33756872733,9404.98080278422,9415.81709043799,9423.46508774909,9435.70233524337,9455.48596671021
23,9383.33756450654,9404.9807153961,9415.81775501544,9423.46539357482,9435.70278491553,9455.48649052932
24,9383.33758073916,9404.98071849653,9415.81844057471,9423.46584358192,9435.70317971338,9455.48689195865
25,9383.33758195251,9404.98061359858,9415.81895686416,9423.46606762693,9435.70343404088,9455.4872270774
26,9383.33759002821,9404.98053273271,9415.81984656945,9423.46658015941,9435.70406599339,9455.48803487785
27,9383.33761300302,9404.98051285258,9415.82075131128,9423.46712687272,9435.70451887614,9455.48860151909
28,9383.33761667701,9404.98043453356,9415.82139689231,9423.46745546675,9435.70492168145,9455.48914379164
29,9383.33762932464,9404.98034359687,9415.82195037548,9423.46777302952,9435.7051610257,9455.48929458938
30,9383.33763086524,9404.98025163386,9415.82226589504,9423.46777878516,9435.70511980834,9455.48941135997
31,9383.3376769856,9404.98030682285,9415.82306391669,9423.46847200777,9435.70600596904,9455.49021028722
32,9383.33777157012,9404.98027310968,9415.82245876222,9423.46800886165,9435.70531547464,9455.48944769067
33,9383.3378639264,9404.98036162633,9415.82245193075,9423.46815966767,9435.70548927758,9455.48949432947
34,9383.33796336447,9404.98051915234,9415.82287905128,9423.46890223413,9435.7062483646,9455.48995033307
35,9383.33806396799,9404.98057964495,9415.82228958805,9423.46849894585,9435.70576332119,9455.48934688694
36,9383.33817207531,9404.98065787719,9415.82190221997,9423.46843288601,9435.70547472617,9455.48876479983
37,9383.33826905758,9404.98069471956,9415.82094550817,9423.46775871317,9435.70487979269,9455.48788886518
38,9383.33836508424,9404.98075437064,9415.82127699274,9423.46829355379,9435.7054723578,9455.48833165323
39,9383.33847678847,9404.98085637645,9415.8205059032,9423.46779038254,9435.70491950061,9455.48751212223
40,9383.33857252312,9404.98095341297,9415.82064333888,9423.46819235631,9435.70520602311,9455.48761697315
41,9383.33866781872,9404.9809747734,9415.82017156492,9423.46785763491,9435.70467778749,9455.48705237615
42,9383.33877750858,9404.98104336362,9415.81963806127,9423.4676563246,9435.70466941287,9455.48664716651
43,9383.33886800504,9404.9811025026,9415.81946326962,9423.4677110553,9435.70458486568,9455.48638558946
44,9383.33897197242,9404.98121672387,9415.81942255342,9423.46792747083,9435.70490474677,9455.48645608581
45,9383.33908575115,9404.9812676085,9415.81890600008,9423.4676217453,9435.70459114058,9455.48598249004
46,9383.33917582753,9404.98130967284,9415.81848732734,9423.467482975,9435.70448581512,9455.48560628122
47,9383.33927614281,9404.98141626247,9415.81822953224,9423.46745320732,9435.70433493567,9455.48527481407
48,9383.33938950179,9404.98142748313,9415.8174765505,9423.46695016237,9435.70382193484,9455.48453638795
49,9383.33948186011,9404.98157278769,9415.81809719331,9423.46777731518,9435.70462015494,9455.48517910753
