"LR - Additive","LR - Dominant","LR - Full","LR - D-Additive","LR - D-Dominant","LR - D-Full","DF - Additive","DF - Dominant","DF - Full","DF - D-Additive","DF - D-Dominant","DF - D-Full","P-Val - Additive","P-Val - Dominant","P-Val - Full","P-Val - Main","P-Val - Add-D","P-Val - Dom-D","P-Val - Full-D","P-Val - Diet"
5.98526998489053,15.0363793332002,33.5621860756345,37.6375136286785,54.4024943762348,70.4599551634799,8,31,55,63,85,107,0.816664190842708,0.123827578245024,1.36407554247593,0.897903217677067,0.377895996110022,1.26123575284736,1.12229623653418,1.6009283529192
5.98535071095746,15.0362175680983,33.5629499139108,37.6380432702727,54.4038030266841,70.4619355982858,8,31,55,63,85,107,0.816684853879211,0.123812257213785,1.36426048324764,0.897994118593756,0.377849470160621,1.26139203207873,1.12242525710774,1.60112054242582
5.985430949655,15.0357471506941,33.5645792275091,37.639841594392,54.4063225660764,70.4664054409343,8,31,55,63,85,107,0.816705392316047,0.123777469980054,1.36468005548966,0.89818803054276,0.377883045893904,1.26153672350905,1.12279985749329,1.60156930713915
5.98550547332883,15.0354828209177,33.5667867703866,37.6420377941781,54.4091523010812,70.4696569487394,8,31,55,63,85,107,0.816724468030705,0.123756066109404,1.36517405053171,0.89845079220891,0.37788079243405,1.26166382944519,1.12288087485616,1.60173425253155
5.98559158575578,15.0348624900817,33.5693763898565,37.644935600818,54.4130766863481,70.4749547779566,8,31,55,63,85,107,0.816746510261774,0.123711450347681,1.36581564581545,0.898759079076361,0.377942019778927,1.26186980151555,1.12314471191222,1.60216218003442
5.9856771967931,15.0341809052271,33.5744000330584,37.6501905059177,54.4192051737561,70.4828158340013,8,31,55,63,85,107,0.816768424322415,0.123663008637912,1.36695626304808,0.899357274259644,0.37798796682873,1.26204508622443,1.12347756998647,1.60261057436962
5.98577338611781,15.0341087098206,33.5736534101595,37.6493207685171,54.4193591377575,70.4840242487415,8,31,55,63,85,107,0.816793046335185,0.123652378135699,1.36682140996353,0.899268357335314,0.377963506217621,1.26225050377442,1.12368016755682,1.60291955811847
5.98587180139223,15.0333089296852,33.5791532978815,37.6551786559064,54.4265042578862,70.4931583393921,8,31,55,63,85,107,0.816818238356349,0.123595682310866,1.36808123106244,0.899923449649986,0.378034635853521,1.26250881935824,1.12406235743211,1.6034939915971
5.98597486203523,15.0328474172515,33.5833352655742,37.659457888661,54.4319262844122,70.5003613631012,8,31,55,63,85,107,0.816844619724574,0.123560053341796,1.36901011698223,0.900421717467873,0.378053961941937,1.2627381658927,1.12440462613119,1.60397157467882
5.9860594358941,15.032437849559,33.5851384091557,37.6612324366282,54.4348465600368,70.5047247491473,8,31,55,63,85,107,0.816866269046859,0.123528874201451,1.36945283114116,0.900636596955951,0.378048280096573,1.2629681165756,1.12468198938997,1.60437635669635
5.98616430405093,15.0315202933606,33.589804697714,37.6662075942573,54.4414826498545,70.5130869117794,8,31,55,63,85,107,0.816893113559278,0.123464376656121,1.37057026745285,0.901192789771774,0.378109652930603,1.26330149750606,1.1250137716129,1.60496076081062
5.98626094323942,15.0307582871883,33.5972994472547,37.6740480675904,54.4506363339503,70.523990775889,8,31,55,63,85,107,0.816917851817778,0.123410226362205,1.37222321822507,0.902086462246994,0.378178353213831,1.26356510693799,1.12535022558824,1.6054999004461
5.98635602550277,15.0303105730121,33.5997131432003,37.6766502578044,54.4545214580782,70.5297530393237,8,31,55,63,85,107,0.816942191736916,0.123376002357689,1.37279622512886,0.902374361277728,0.378215811667896,1.263822658189,1.12571112859842,1.6060295384754
5.98646434001289,15.0299407339266,33.6030239681793,37.6798217529216,54.4587757008391,70.5356017983834,8,31,55,63,85,107,0.816969919207948,0.123345858878008,1.37353341937525,0.902769339025327,0.378188123260766,1.26404003667936,1.12601772836217,1.60643100845658
5.98658113901545,15.0162636035473,33.4674282169745,37.5307115082033,54.2883898420999,70.3302830566006,8,30,54,62,84,106,0.816999818932116,0.153376654241461,1.34919201487882,0.953932207929337,0.375505999004768,1.25977114016323,1.11930796067903,1.59541695680858
5.98669923702301,15.0163509540114,33.4655976367138,37.5288408636679,54.2868731215399,70.3298705457092,8,30,54,62,84,106,0.817030051514027,0.153374392775668,1.34881037520147,0.953706200140705,0.375498058201335,1.25984211071198,1.11951981967534,1.59564065141965
5.98680805987387,15.016541787917,33.4643534815836,37.5272735896013,54.2853039706773,70.3280984985624,8,30,54,62,84,106,0.817057909981984,0.153380424688798,1.34852485976766,0.953552608239747,0.375434017774734,1.25984173436388,1.1194808898724,1.59555737709061
5.98696007953855,15.0166258957265,33.459023664042,37.5217119519729,54.2801608585197,70.3216695356611,8,30,54,62,84,106,0.817096827221747,0.15337542976206,1.34744786806852,0.952894770535631,0.375388074769021,1.2599256610029,1.11923418506245,1.59538399407509
5.98711258009935,15.0168280362006,33.4548949719666,37.5172481215252,54.275908948901,70.3163810329945,8,30,54,62,84,106,0.817135868109874,0.153379080775605,1.34658656439786,0.952385330380832,0.375321659410825,1.25996815813126,1.11903531816544,1.59520105007011
5.98726571020361,15.0170683515871,33.4499440226786,37.51199155481,54.2708157197275,70.3097790188369,8,30,54,62,84,106,0.81717507070668,0.15338549337091,1.34555440814596,0.951774601580189,0.375261098084645,1.26000091306449,1.11874588683074,1.59494063268427
5.98740771214835,15.0172678092987,33.4458374889076,37.5075806233313,54.2666361271081,70.3051119012709,8,30,54,62,84,106,0.817211424886655,0.153389719404786,1.34469848842217,0.95126817696377,0.375200782042822,1.26004730519345,1.11865237064396,1.59485221757468
