run_number	P-Val - Additive	P-Val - Dominant	P-Val - Full	P-Val - Main	P-Val - Add-D	P-Val - Dom-D	P-Val - Full-D	P-Val - Diet
0001	4.48692821293973	4.07795399646088	4.89149180325632	6.93342558707052	2.35308347054323	3.04919501143639	3.42459504660706	4.64588165631689
0002	4.65282000970848	4.92521521061486	4.71212776299193	7.19831721474691	3.54226417908624	3.50150240802532	3.17440063392617	4.43542509516286
0003	2.98822219405337	5.77179349867243	4.60318882812429	7.50282480337425	2.73036936017076	3.17252998037672	3.64073879987053	4.78476194270389
0004	4.39261349458209	5.06120908485401	4.41808567308125	7.25515157042776	2.85947354932714	2.63248169977646	3.34846229662046	3.9230457306997
0005	5.34224985745503	5.50436743783128	4.74918269415734	8.31720755440552	3.42367890898228	2.9625337070806	3.07867158567639	4.28599989671204
0006	3.55609810504448	4.27965341854501	4.51404092634312	6.89853348507773	1.84028844055032	3.26239884012927	3.22232612385734	4.25581573825648
0007	5.19022322903509	5.09104535514224	4.84597451162355	7.75416393691433	2.69421787779973	2.63827644529424	4.13577452249792	4.51125184466964
0008	4.23895974331921	5.0992796921859	5.13517605045717	7.74481793417384	2.67993520290412	3.05758255347457	3.61462726939717	4.4867260152178
0009	4.32137836480721	4.91959148737865	3.89557676673771	6.54203536419007	2.6226336375877	3.136164495885	3.72413843454645	4.74267695854726
0010	3.74774417146702	5.26524208791809	4.99991298084268	7.5921620764444	2.29130767853184	3.66898668577732	3.25688278948564	4.63237912668099
0011	4.90521328138971	6.05333369307705	3.74519715334854	7.13913763337294	2.97817761994778	3.61256269674751	3.75182640860898	5.0086796068076
0012	3.48696360336191	5.24439198477376	4.83695506688429	7.49997005873594	2.29336041140864	4.00942412494454	3.56707549528516	4.81358340156145
0013	4.6984683257297	4.24559973174278	5.26760341469757	7.406342760511	2.17477996573349	2.73263098897838	3.49958694360422	3.98757432322662
0014	4.38756515854202	5.20386491365971	4.0649042387319	7.1607915375586	2.89994481839151	2.71992374104543	3.54669900904952	4.60983280918156
0017	4.06750968513327	4.6148224777445	4.40867411557478	7.11877372127687	1.98011680915871	3.66155279933363	3.53206641345193	4.44874014323285
0019	3.99136045289328	6.50610147592286	4.91339379847612	8.52907620667195	3.21656416735987	3.51611944674665	3.27739760745037	4.62653987604419
0020	4.52487388506441	4.80376115267595	4.70207620218722	7.56461353154721	2.19415350839306	3.32935791039033	3.23295966294255	4.35429147576328
0021	4.4326480024718	4.82235412285484	4.96385043211988	7.9917361039713	2.80543790310997	3.81924111575403	3.48429305017565	4.69164069116372
0023	4.50314686680263	5.45300288895727	4.53289996189762	7.408054393229	2.60656714300429	2.84739589304405	3.30005711445056	4.16501717355792
0024	4.09058224674834	4.89069666822603	4.12243784636541	6.9154579263327	2.46516580541587	3.02555027807086	3.44730587973758	4.36854452008867
0030	4.28119631437496	5.03627752212491	4.54012415348827	7.32075764666831	3.04287812430214	3.20207138715535	3.2865192392603	4.43413298784166
0032	3.93658420409369	5.5016978249328	4.37470277525622	7.03458325475069	1.88799749785675	3.35648902060607	2.9926557217593	4.34888355853311
0044	3.74689189654247	4.86573674255081	4.22186536390241	6.89949308468747	3.23513813654218	3.55370406225725	3.79066983716546	5.18340336277395
0045	3.00057284888324	4.5686248555078	4.45239797056517	6.82504030251724	2.29457412953833	2.73104283871751	4.1973906447575	4.49863819473422
0046	4.57290987029151	4.65152668160113	5.00439260644536	7.23310420212778	2.41270572811524	3.5772935087402	3.48332236172302	4.77464600127611
0050	3.35305349608266	5.01978500850802	4.33229185814382	6.88721024276213	2.3852697184349	3.14856503606693	3.36919770724755	4.23597158371658
0051	4.21797692660368	4.70267983500123	4.21617973450519	6.8447720696028	2.229800834764	2.85553747967163	3.63727997911991	4.47497242359854
0054	3.6540282554009	5.64160590749085	4.62535447319707	7.31165959648121	2.86204078224002	3.47732104391588	3.71627250435195	4.83257589922908
