"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
1,2656.22436796666,2673.65955638115,2695.04530574266,2699.51209177606,2717.86107006612,2734.29949488925
2,2656.22462069792,2673.65988502609,2695.06758017162,2699.53270897352,2717.86830568433,2734.3248516801
3,2656.2249065772,2673.65854887904,2695.073428287,2699.53724839341,2717.87412271409,2734.32381519228
4,2656.22521084892,2673.65707463607,2695.06726714434,2699.53206598587,2717.85790505338,2734.31715293226
5,2656.22547470106,2673.66074908192,2695.06599593251,2699.53020811475,2717.85613866889,2734.29952673841
6,2656.22579980655,2673.66724099978,2695.04214131442,2699.50720785947,2717.84625295736,2734.30792284947
7,2656.22613143195,2673.66265111405,2695.06060130525,2699.52474801835,2717.85930214465,2734.31788252486
8,2656.22647064016,2673.66582787667,2695.06753756637,2699.53027400531,2717.86374788132,2734.33684215166
9,2656.22681307959,2673.66839147103,2695.06595383403,2699.52918904286,2717.86397839484,2734.33941401178
10,2656.22716793113,2673.6679163825,2695.04307626813,2699.50884778386,2717.83953514184,2734.32492607071
11,2656.22749464693,2673.66901848933,2695.06325474593,2699.52633672996,2717.85316272373,2734.33231206141
12,2656.22784523999,2673.67094286652,2695.05981917908,2699.52475019815,2717.85684870504,2734.3600029719
13,2656.22818882596,2673.67444614481,2695.06040358525,2699.52471507763,2717.86321850776,2734.35987870279
14,2656.22857473265,2673.67540190963,2695.06088013552,2699.52468060834,2717.85614745103,2734.36120279325
15,2656.22895841288,2673.67288206285,2695.08041712976,2699.54190702822,2717.86865015167,2734.38439427068
16,2656.22932735563,2673.67729705972,2695.07130203814,2699.53416521269,2717.85878139991,2734.38479911224
17,2656.22976717603,2673.67981159168,2695.06380974999,2699.52578620155,2717.85718986189,2734.3893058751
18,2656.23018059243,2673.68657933128,2695.02045396797,2699.48493015615,2717.82825118487,2734.38310719346
19,2656.23063067344,2673.68066843175,2694.99431735301,2699.45966747605,2717.79900985899,2734.36409584318
20,2656.2310614383,2673.6825778837,2694.93263748696,2699.40282912856,2717.74757528021,2734.33787468358
21,2656.23151924397,2673.68296175476,2694.91601555049,2699.38649964382,2717.74112874523,2734.36461158547
22,2656.2319519238,2673.68872907494,2694.87131151583,2699.34373117516,2717.70844685102,2734.34713674261
23,2656.23239367417,2673.68993929403,2694.85478973391,2699.32917877553,2717.69823206507,2734.37095182073
24,2656.23284289642,2673.69099247927,2694.8046549916,2699.28468152486,2717.66440712163,2734.38717141283
25,2656.23327889371,2673.69350278627,2694.79610038868,2699.27776771019,2717.68561111619,2734.42799868066
26,2656.23372082953,2673.69999519321,2694.72606910605,2699.20748910901,2717.67095907374,2734.44781363245
27,2656.23418858644,2673.68229658281,2694.76321816955,2699.24420560329,2717.67023266729,2734.49626969899
28,2656.23462514442,2673.69099762939,2694.76984963304,2699.25511646242,2716.4713715698,2733.27199014748
29,2656.23506082127,2673.53638697053,2694.76703421884,2699.25684513593,2716.46543694708,2733.26086379264
30,2656.2354935022,2673.53809744488,2694.80999346622,2699.29738086521,2716.49478563019,2733.30165901935
31,2656.23598478782,2673.5393194036,2694.8562284269,2699.34187002215,2716.53043189616,2733.32448948571
32,2656.23646184499,2673.54292639455,2694.84244870229,2699.32835375539,2716.52431996109,2733.30854438949
33,2656.23695714101,2673.54330151166,2694.83858636778,2699.32509851495,2716.52230648612,2733.28605605559
34,2656.23748696223,2673.54825331008,2694.86049123731,2699.34500126597,2716.53831263003,2733.3016754391
35,2656.23803001563,2673.55060762609,2694.85803415328,2699.34232704987,2716.53951551714,2733.30686249323
36,2656.23855376603,2673.55634282674,2694.8664840022,2699.34936162871,2716.54441368433,2733.30642288477
37,2656.23909698752,2673.55897023777,2694.8676641136,2699.35021653631,2716.54964073794,2733.30410802559
38,2656.23961601587,2673.5632351743,2694.87556895757,2699.35706281559,2716.55549400829,2733.30113524167
39,2656.24015887243,2673.56511188872,2694.88797432794,2699.36691718137,2716.56464418564,2733.29323212442
40,2656.24070147562,2673.5702404828,2694.88781488693,2699.36712551589,2716.5663946768,2733.2888028755
41,2656.24122505976,2673.57531840882,2694.88101975926,2699.36104279258,2716.5632281478,2733.27554733125
42,2656.2417712072,2673.5786573381,2694.89349981318,2699.37136739768,2716.57221154678,2733.27966243049
43,2656.24229076031,2673.58257671778,2694.88908923443,2699.36747731338,2716.57142158623,2733.26634971642
44,2656.24283706735,2673.5850315632,2694.90765426262,2699.38317536355,2716.58496838937,2733.27353959028
45,2656.24338088768,2673.58926150416,2694.80194210857,2699.28993269302,2716.49831255675,2733.21142174665
46,2656.24391009662,2673.59486850407,2694.81554361124,2699.30203323487,2716.51023781779,2733.20079587707
47,2656.24446682421,2673.59725712684,2694.81944628169,2699.30518934251,2716.51254482204,2733.22004919367
48,2656.2450182214,2673.60305891845,2694.82349093696,2699.30875912977,2716.51845434905,2733.19462802304
49,2656.24555021894,2673.60719183292,2694.81106364269,2699.2967199309,2716.51203136736,2733.20207100414
50,2656.2461026352,2673.61159378147,2694.81223666049,2699.29700944968,2716.51575379435,2733.21089569287
51,2656.24666275695,2673.61520663901,2694.80969262125,2699.2936456128,2716.51636989825,2733.22776396564
52,2656.24722594865,2673.62274000247,2694.80643107366,2699.29052894128,2716.51598363224,2733.26397204721
53,2656.24876703421,2673.6229892217,2694.80926064155,2699.29250953156,2716.5226164487,2733.29838105872
54,2656.25223930364,2673.62077207808,2694.78318804095,2699.26863122164,2716.52206852758,2733.32229719271
55,2656.2557689806,2673.61791014416,2694.76569600272,2699.25088095419,2716.52489010418,2733.35667738773
56,2656.25936145697,2673.61392051102,2694.73594415112,2699.2234347089,2716.51643664562,2733.38735502739
57,2656.26301437011,2673.60906351723,2694.58987946132,2699.10997637925,2716.47446024209,2733.36633357393
58,2656.26673727704,2673.60653088635,2694.57631804047,2699.09668369166,2716.47063134232,2733.39442608516
59,2656.27052113594,2673.60399222227,2694.56855807152,2699.0887523649,2716.46683785133,2733.40485047795
60,2656.27441220129,2673.60462593352,2694.55770093921,2699.07727319639,2716.4625745399,2733.41562688698
61,2656.27840735055,2673.5996745923,2694.55415427211,2699.07324772207,2716.46445719101,2733.42689815506
62,2656.28251641233,2673.59854740007,2694.55104540096,2699.06989940953,2716.46376510232,2733.42268466064
63,2656.28677754063,2673.59864766219,2694.53901653843,2699.05754047933,2716.45438746631,2733.41886964514
64,2656.29121438304,2673.59928116878,2694.53488193512,2699.05324525732,2716.45064221988,2733.41392299443
65,2656.29589275979,2673.60207727349,2694.53029292155,2699.04892221573,2716.44485144544,2733.41385801626
66,2656.30088252957,2673.60586771386,2694.52555109056,2699.04439228888,2716.43963875029,2733.40091761426
67,2656.30629408914,2673.61031448794,2694.53140177885,2699.05103088266,2716.4430760699,2733.39532131526
68,2656.31284931025,2673.61554913347,2694.52955035408,2699.04972227757,2716.43649017752,2733.39386781911
69,2656.32313904369,2673.62413941796,2694.52759829349,2699.04803111374,2716.42336503846,2733.42545748668
70,2656.33526385082,2673.63766726237,2694.53590063526,2699.05754199308,2716.42589872218,2733.43950351952
71,2656.35143258402,2673.66847156342,2694.57219996681,2699.09898062665,2716.45478729181,2733.47294427568
72,2656.37868036259,2673.73250845335,2694.64979532226,2699.19298057024,2716.52999544489,2733.53000327445
73,2656.4637855325,2673.9761274839,2695.01415257046,2699.63226983156,2716.8602547518,2733.89900265357
74,2656.75484443159,2676.46570704785,2699.35509984514,2704.31486048454,2720.4599701352,2737.82291076978
75,2656.73507708868,2676.46922154478,2699.35738320262,2704.33355987108,2720.41622656156,2737.83954585002
76,2656.71466969241,2676.4333778454,2699.3216371882,2704.30899620284,2720.34637616959,2737.84444033984
77,2656.6934661761,2676.41185318989,2699.31071554666,2704.31447899129,2720.28597569049,2737.85424441339
78,2656.67158731246,2676.39441566537,2699.30549993197,2704.32458871691,2720.22762394886,2737.87519108623
79,2656.6443734313,2676.38013549785,2699.30639532624,2704.33524918898,2720.17439408101,2737.92448936994
80,2656.61134765486,2676.37660028054,2699.32607370394,2704.36023317574,2720.12296761579,2737.97388364437
81,2656.5770553236,2676.26194029607,2699.24281481334,2704.25774203809,2720.00337055733,2737.94237167841
82,2656.54152245216,2676.25076977271,2699.24062607952,2704.25984610615,2719.93634228289,2738.02819714072
83,2656.50460089367,2676.23018622148,2699.25119621232,2704.2768964234,2719.8693159306,2738.09998272267
84,2656.46634314669,2676.21483474769,2699.2386255857,2704.26989094532,2719.78136880177,2738.14776921669
85,2656.42669522135,2676.19330783967,2699.19561713378,2704.23863938926,2719.62588957184,2738.17021382084
86,2656.38555349656,2676.16076037191,2699.17421325154,2704.22466585949,2719.53270218205,2738.2856316705
87,2656.34299238585,2676.12693098499,2699.14278508729,2704.20285377513,2719.42200903884,2738.35277742035
88,2656.29891448659,2676.08555786292,2699.09114729392,2704.16003212719,2719.29633485118,2738.41964331556
89,2656.25328229009,2676.04442197369,2699.02269071398,2704.10256261039,2719.1446802967,2738.43994363244
90,2656.20616393779,2675.99470837555,2698.92034253418,2704.01387324539,2718.95985249022,2738.46103266061
91,2656.15752186819,2675.94039807494,2698.79280732901,2703.90014629104,2718.76402305512,2738.51957218238
92,2656.10744704265,2675.87247861465,2698.60635576198,2703.7313184526,2718.48648062519,2738.37629548654
93,2656.05599694217,2675.80893653485,2698.37592925855,2703.52044282985,2718.19070237057,2738.33374164522
94,2656.00318168518,2675.72657166584,2698.05897530703,2703.22889552489,2717.8227709067,2738.281217482
95,2655.9492204144,2675.63902772945,2697.65542872769,2702.85506325296,2717.35858962611,2737.97631528479
96,2655.89425386117,2675.53721883932,2697.13541390789,2702.37088325312,2716.77895461584,2737.56950772741
97,2655.83846256547,2675.43499950505,2696.49680403948,2701.77643967058,2716.09365703066,2737.14667849668
98,2655.78218209235,2675.30803152152,2695.71915464226,2701.05171124553,2715.3094620523,2736.65006456395
99,2655.72569785045,2675.1797715574,2694.8352475409,2700.2254898504,2714.43124056366,2736.02016894949
100,2655.66945934805,2675.02889409798,2693.8319875012,2699.28593885195,2713.41108022734,2735.15248108314
101,2655.61396645272,2674.87622329104,2692.82420743917,2698.33873135429,2712.38193700361,2734.24364350037
102,2655.55974596763,2674.73042781304,2691.86441113582,2697.42870768838,2711.40726153729,2731.27044470849
103,2655.51449878513,2674.92097973366,2691.53307381718,2697.06910699516,2711.20653368698,2730.13006098253
104,2655.47983212714,2674.23427337125,2690.97927811093,2696.45810829417,2710.43991842097,2729.13245194125
105,2655.44508164666,2673.911365889,2690.64808096254,2696.02643319555,2710.06764842589,2728.53348260423
