"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
1,2662.69083627475,2686.9911350192,2707.85960510871,2714.80384349453,2737.57486890871,2766.17238796406
2,2662.69117825971,2686.98273097726,2707.84603378863,2714.79052330267,2737.59452942863,2766.17408271729
3,2662.69154076128,2686.99657294651,2707.84324695608,2714.78903613857,2737.59309060143,2766.16608301919
4,2662.69187909,2686.9940347879,2707.84378299962,2714.78869253599,2737.59077405235,2766.16443354229
5,2662.69221679995,2686.98849794729,2707.84747466134,2714.79179907138,2737.62435516097,2766.19050985956
6,2662.69262525889,2686.99402763689,2707.84382884762,2714.78891458579,2737.61811785665,2766.17616508176
7,2662.69305344879,2687.00337001263,2707.83983776174,2714.78576195781,2737.61587555906,2766.16949809333
8,2662.69347529903,2687.00200513248,2707.84037417745,2714.78590092633,2737.64701802214,2766.19009014604
9,2662.69388953891,2687.00229660158,2707.83869098379,2714.78396252245,2737.65570959517,2766.20062305997
10,2662.69433073228,2687.00968224753,2707.83162782694,2714.77685663117,2737.65005346691,2766.18700889707
11,2662.69474679605,2687.01831420058,2707.82983900954,2714.77716748324,2737.65464321177,2766.1762480706
12,2662.69517219335,2687.02256518897,2707.82747259029,2714.77514859166,2737.66278453643,2766.17893902268
13,2662.69559296104,2687.02587781878,2707.82999241007,2714.77850746291,2737.66047562193,2766.17346024292
14,2662.69606868169,2687.03807147741,2707.83611534978,2714.78486274475,2737.67765244222,2766.18650235621
15,2662.69655612859,2687.04473717519,2707.82122538977,2714.7710435079,2737.6768189609,2766.18123202652
16,2662.69704063197,2687.05506346246,2707.82494724456,2714.77465644616,2737.6858191994,2766.17881875893
17,2662.69756985928,2687.06335889482,2707.82492359151,2714.77444570484,2737.68074425657,2766.17338326186
18,2662.69817245375,2687.05654817921,2707.86989199755,2714.8202340785,2737.7117115053,2766.26002635167
19,2662.69876848677,2687.0748315071,2707.91850655469,2714.86843056221,2737.73782555908,2766.34728760405
20,2662.69936435101,2687.07376433661,2707.95290833243,2714.90324677841,2737.7580198742,2766.43496851386
21,2662.69996924041,2687.08834980226,2707.98696177283,2714.93806881715,2737.79437656607,2766.52864841177
22,2662.7005654918,2687.08770096421,2708.01292520588,2714.96425971062,2737.77868158205,2766.60237622962
23,2662.70116970424,2687.09854312694,2708.03057569446,2714.98241011595,2737.7856665854,2766.69260012485
24,2662.70176484502,2687.10945964696,2708.03948167446,2714.99030978126,2737.77769165333,2766.77650888439
25,2662.70237601081,2687.10882422184,2708.02514817046,2714.97719320821,2737.76281540004,2766.86603647197
26,2662.70295949663,2687.10436533721,2707.99993157014,2714.95147638267,2737.76608743867,2766.96515034981
27,2662.70357579051,2687.13227122369,2707.95374448589,2714.90696715762,2737.69221360122,2767.02251466745
28,2662.70415635732,2687.12620982802,2707.89042359428,2714.84402659991,2737.63491745664,2767.09601709659
29,2662.70476020657,2687.13446956293,2707.80849795974,2714.76175692256,2737.61585889482,2767.19782125077
30,2662.70535451608,2687.13880845366,2707.69180033541,2714.64590301443,2737.53914294009,2767.26033784558
31,2662.70599892717,2687.15369556884,2707.63358021139,2714.58977340554,2737.48780041027,2767.28951216162
32,2662.70671400773,2687.16142322986,2707.63667780084,2714.59305552073,2737.50784701153,2767.310143149
33,2662.70742074521,2687.17151965194,2707.63291292178,2714.59007301487,2737.52119994093,2767.33570718406
34,2662.70821007761,2687.17941451226,2707.63468598854,2714.59341546241,2737.54938338324,2767.35574350597
35,2662.70899912113,2687.19007548071,2707.63477398826,2714.5934794139,2737.55929757858,2767.38296786437
36,2662.70978330734,2687.20600946648,2707.64113346562,2714.60082810084,2737.55426627141,2767.39835310156
37,2662.7105733706,2687.21006147328,2707.63480020759,2714.59480453212,2737.59585226577,2767.42225332703
38,2662.71136348435,2687.22476258841,2707.64125010321,2714.60226312565,2737.60096829711,2767.45456082131
39,2662.71214074312,2687.2127701014,2707.64516858745,2714.60554409017,2737.62979445356,2767.47930113999
40,2662.71292129565,2687.22637410069,2707.64766407185,2714.60869628751,2737.66235016403,2767.51338322758
41,2662.71371397265,2687.24384850783,2707.64556380336,2714.60766186503,2737.68223470067,2767.53659590783
42,2662.71449858489,2687.2457560388,2707.65494400721,2714.61713806479,2737.68337181615,2767.55366050401
43,2662.71528563613,2687.25358691044,2707.65368684407,2714.61659389883,2737.72937204858,2767.5920254429
44,2662.71607356305,2687.26306979306,2707.65436790377,2714.61808426129,2737.73561231564,2767.60897354178
45,2662.71685438212,2687.27450147933,2707.65197109565,2714.61583117988,2737.77641828526,2767.64080422243
46,2662.71763425041,2687.28356201944,2707.65596213905,2714.62076834736,2737.79357843621,2767.66790272113
47,2662.71841752663,2687.28974960111,2707.6508857902,2714.61584949254,2737.80821238615,2767.68763937337
48,2662.71920367981,2687.31293166603,2707.6552013415,2714.62245216394,2737.82065173478,2767.70819748753
49,2662.72001166868,2687.3170625215,2707.64447722262,2714.61156744687,2737.826081008,2767.71988033868
50,2662.72085936427,2687.33027386156,2707.62895083612,2714.59478796328,2737.84438715568,2767.72459516197
51,2662.72173598697,2687.3585827864,2707.63682882106,2714.6033143426,2737.86894479553,2767.71457129166
52,2662.7225789894,2687.32503339327,2707.6162756534,2714.58381889901,2737.8390605182,2767.68588763682
53,2662.72396552672,2687.31215575835,2707.54596925252,2714.51640054356,2737.77410273352,2767.53672784216
54,2662.72643750619,2687.29390058943,2707.34884082415,2714.32522320907,2737.67261775262,2767.16556623068
55,2662.72891470962,2687.27673945818,2707.13957538731,2714.12173617621,2737.59378589979,2766.76289531586
56,2662.73137049133,2687.25861538874,2706.91486630921,2713.90277162038,2737.46651960542,2766.31885041989
57,2662.73381661844,2687.2380713406,2706.71498047382,2713.70585855733,2737.35359819972,2765.90137883742
58,2662.73625651293,2687.20434418156,2706.52297344409,2713.51261820682,2737.26637384095,2765.55426868341
59,2662.7387003588,2687.17908675685,2706.44765935629,2713.43117713095,2737.23993031639,2765.37575467404
60,2662.7411063496,2687.17325472778,2706.52968841343,2713.50351054677,2737.30498953106,2765.44953969442
61,2662.7435049158,2687.15042311227,2706.69970716296,2713.66091484313,2737.37971882051,2765.44834534909
62,2662.74588561923,2687.13957328717,2706.97188075284,2713.91759718715,2737.50757724738,2765.78431577514
63,2662.74825417573,2687.13617955937,2707.26984574888,2714.19991599404,2737.65490299745,2766.13387851679
64,2662.75059090316,2687.13081262489,2707.47025889303,2714.3969999248,2737.66161447701,2766.23232011027
65,2662.75287705333,2687.10741852947,2707.7311685314,2714.64593898847,2737.78939019217,2766.47784563745
66,2662.7551254834,2687.1066776467,2707.97534550319,2714.88073052753,2737.89906362256,2766.68023072953
67,2662.75729669556,2687.11106029494,2708.19103694918,2715.08784488462,2738.00108449285,2766.83215573622
68,2662.75951596308,2687.11253190055,2708.37675349836,2715.26812437618,2738.06820085918,2766.99077694048
69,2662.76228810203,2687.06990504295,2708.55258929685,2715.43412575357,2738.16498705635,2767.27949335316
70,2662.76463562894,2687.05184173189,2708.68092156208,2715.55698471173,2738.23888366957,2767.24262995417
71,2662.76621610388,2687.03793453014,2708.80627657115,2715.67944005994,2738.28841289498,2767.25846837165
72,2662.76566937641,2687.04522526996,2708.95432378331,2715.83356270129,2738.37778764091,2767.36121922342
73,2662.75454339495,2687.06772175657,2709.35212476997,2716.27595302961,2738.68709273645,2767.74187310937
74,2662.74888256278,2688.43534186117,2712.83499047574,2719.79815930269,2738.17487232937,2768.68856698448
75,2662.75329287318,2688.42846489349,2713.04560968294,2719.98757313069,2738.25327836197,2768.79820331348
76,2662.75766674805,2688.4170897996,2713.1027339805,2720.03422907641,2738.41188748694,2768.70215913286
77,2662.76202582158,2688.40820081119,2713.15124755787,2720.0701498176,2738.39180997044,2768.49886954201
78,2662.76632930759,2688.41015445602,2713.21227173305,2720.11704626207,2738.35271279992,2768.25227147062
79,2662.7710138957,2688.39349499388,2713.29060335169,2720.17941242528,2738.28713950351,2768.06008604454
80,2662.77610999061,2688.39505489481,2713.38470765043,2720.25436100639,2738.24173870328,2767.89094779637
81,2662.78122715775,2688.376688992,2713.45731142495,2720.31158898314,2738.16993200773,2767.6744350124
82,2662.78639451385,2688.36651721608,2713.51857546032,2720.3544298116,2738.09815158274,2767.46393234313
83,2662.79158389462,2688.35833325927,2713.62077263287,2720.43391892508,2738.07958187666,2767.28815909136
84,2662.79677550807,2688.36638659224,2713.72668321302,2720.52004912202,2737.59848621124,2766.14738990553
85,2662.80201254836,2688.4241406092,2713.8819044772,2720.64470667812,2737.61390281221,2766.10081676078
86,2662.80729876175,2688.40664676845,2713.95118580186,2720.69494664998,2737.53286926795,2765.98151783878
87,2662.81258378088,2688.4329842991,2714.09526616259,2720.80731825807,2737.50188881469,2765.9164682654
88,2662.81786673296,2687.84131498864,2714.15171525571,2720.86010941046,2737.44393654267,2765.8305583601
89,2662.82318275494,2687.91626469759,2714.29832510336,2720.9747572962,2737.40069967461,2765.73822823734
90,2662.82854342967,2687.99787102823,2714.43257842178,2721.07598469176,2737.3533671607,2765.62111753095
91,2662.83384400631,2688.10055673504,2714.60077668864,2721.20639636653,2737.36162194295,2766.46206029246
92,2662.83917999815,2688.21738696541,2714.75009553979,2721.31831851901,2737.31486595689,2766.33753928464
93,2662.84451098486,2688.34235655299,2714.90671249198,2721.43363732769,2737.28899808851,2766.17425189607
94,2662.84980101283,2688.47501520318,2715.05631688235,2721.54194264181,2737.27499537793,2765.93184127865
95,2662.85509813701,2688.63477450166,2715.19542099173,2721.63626013823,2737.24541596056,2765.71205147806
96,2662.86035576067,2688.82275412697,2715.31748730414,2721.71232119347,2737.19182427601,2765.46504632525
97,2662.86555686636,2689.0123319742,2715.40408450007,2721.75193147114,2737.09484794075,2765.22636210816
98,2662.87067458649,2689.21176500562,2715.42540355003,2721.72555269152,2736.98266671588,2764.91297224251
99,2662.87576961175,2689.41496058671,2715.34465883393,2721.59580773162,2736.22167962323,2764.02820953882
100,2662.88078263754,2689.68660171883,2715.17775046618,2721.37439435188,2735.94915530212,2763.65533234843
101,2662.88565173503,2689.93519398211,2714.87957150724,2721.02946229666,2735.5662328475,2763.1980172809
102,2662.89043338011,2690.2182574995,2714.55174828764,2720.67385645509,2735.22435363399,2762.04815558504
103,2662.88710477898,2690.57011156567,2713.23680609275,2719.33743569528,2733.95386828005,2755.9358571106
104,2662.87424127981,2690.96735512105,2712.74962124573,2718.77865070138,2733.39354332059,2755.14872112523
105,2662.86512994474,2691.37630277627,2712.35190149143,2718.34282188879,2733.00243676467,2754.5848073
106,2662.86042855467,2691.76023728272,2711.94414942199,2717.89602385416,2732.60394026626,2754.02575660122
107,2662.86063057725,2692.13252593417,2711.53284369673,2717.44585238191,2732.20957171893,2753.49417110644
108,2662.86602153876,2692.46625706285,2711.14123992654,2717.01386747009,2731.84257030101,2753.01439420104
109,2662.87661650439,2692.73282713259,2710.76500739607,2716.60032560301,2731.50288698182,2752.57941702716
110,2662.89222605992,2693.00802017571,2710.41880883211,2716.2171510026,2731.20029646547,2752.20943844357
111,2662.91241103348,2693.18151364694,2710.07145702561,2715.85235080597,2730.9294063268,2751.89237024188
112,2662.9365947785,2693.32255832988,2709.79299084153,2715.5427495064,2730.72306731092,2751.67682468737
113,2662.9640702652,2693.42772497472,2709.56244589106,2715.2840870612,2730.57927223935,2751.5680257654
114,2662.99407266463,2693.4391650752,2709.39679770805,2715.09274137635,2730.51038939598,2751.56908839631
115,2663.0258709944,2693.4689826392,2709.32392619842,2714.98190353343,2730.53994518295,2751.71386353008
116,2663.05646170225,2693.61984642964,2709.40396143182,2715.08415644281,2730.75872756274,2752.35318440235
117,2663.06738168469,2693.83151163046,2709.67518554218,2715.41256472617,2731.06503128237,2753.83357217711
118,2663.07045326681,2693.87358391373,2709.76608309799,2715.52723833934,2731.19995045455,2753.36099953314
119,2663.10792227108,2693.84972114982,2709.76446998461,2715.5157869287,2731.19829474353,2753.31170901249
120,2663.15238174385,2693.79409922608,2709.74755255639,2715.48759824902,2731.18644540702,2753.2407890053
121,2663.20323830232,2693.75674065062,2709.73756046642,2715.46624954154,2731.17970831587,2753.15201298261
122,2663.26136693683,2693.72790745197,2709.71487068255,2715.43149571919,2731.15838668851,2753.04849149096
123,2663.32773374417,2693.63806943928,2709.68594550095,2715.38926797799,2731.11994182329,2752.93011679537
124,2663.40339963562,2693.56855773957,2709.6612852472,2715.35050730156,2731.09922718187,2752.82250832009
125,2663.49188784514,2693.5182646012,2709.62293374805,2715.29518622377,2731.05920905888,2752.69923410609
126,2663.5990291903,2693.44553039872,2709.57322934376,2715.22679279619,2731.01216782905,2752.5482755212
127,2663.72214629094,2693.39919068688,2709.51446588651,2715.14663251313,2730.94876444922,2752.38836310567
128,2663.86297846931,2693.26151403576,2709.46562389349,2715.07759812578,2730.90544291008,2752.23454289727
129,2664.02340784374,2693.16473242554,2709.40445159884,2714.99661189686,2730.84135124253,2752.05123295421
130,2664.20496145367,2692.31677745184,2709.31341009496,2714.87072392357,2730.71153863027,2751.83131635295
131,2664.26932660323,2692.41981960923,2709.28791900688,2714.83277468954,2730.68878396373,2751.83404158286
132,2664.32242117788,2692.56046182282,2709.26007608392,2714.79253628074,2730.65977440658,2751.8542528759
133,2664.38843952613,2692.7240639526,2709.23853841801,2714.75663689306,2730.65758895158,2751.90188446566
134,2664.47054250988,2692.9052507878,2709.18448339984,2714.68779628269,2730.56728653967,2751.91023858122
135,2664.57137168695,2693.09901709647,2709.09539310889,2714.58421275244,2730.46522704476,2751.92010217391
