"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
"1",1,2657.55069735849,2674.50695401867,2711.08045053394,2720.04081541871,2735.87426037823,2752.06235630266
"2",1,2657.55069735849,2674.50695401867,2711.08045053394,2720.04081541871,2735.87426037823,2752.06235630266
"3",2,2657.55073856923,2674.53471007167,2711.12503774094,2720.08303975737,2735.91429458206,2752.09829951194
"4",2,2657.55073856923,2674.53471007167,2711.12503774094,2720.08303975737,2735.91429458206,2752.09829951194
"5",3,2657.55081676278,2674.53463407188,2711.11394581282,2720.07235528725,2735.89858020035,2752.09140675402
"6",3,2657.55081676278,2674.53463407188,2711.11394581282,2720.07235528725,2735.89858020035,2752.09140675402
"7",4,2657.55088764798,2674.53894523529,2711.10820564676,2720.0695016425,2735.92881914483,2752.0913874221
"8",4,2657.55088764798,2674.53894523529,2711.10820564676,2720.0695016425,2735.92881914483,2752.0913874221
"9",5,2657.55094124429,2674.53650726276,2711.11887499089,2720.07984384564,2735.93821294691,2752.10310902124
"10",5,2657.55094124429,2674.53650726276,2711.11887499089,2720.07984384564,2735.93821294691,2752.10310902124
"11",6,2657.55101580402,2674.50580090469,2711.06967643787,2720.037027008,2735.88885301489,2752.06062941623
"12",6,2657.55101580402,2674.50580090469,2711.06967643787,2720.037027008,2735.88885301489,2752.06062941623
"13",7,2657.55108530585,2674.53059461046,2711.09639485787,2720.06250498001,2735.92817535175,2752.09301876189
"14",7,2657.55108530585,2674.53059461046,2711.09639485787,2720.06250498001,2735.92817535175,2752.09301876189
"15",8,2657.55115905432,2674.54370857043,2711.1207020943,2720.0872560081,2735.95224878944,2752.11638210002
"16",8,2657.55115905432,2674.54370857043,2711.1207020943,2720.0872560081,2735.95224878944,2752.11638210002
"17",9,2657.55123529385,2674.52228339378,2711.09868620875,2720.06698830706,2735.9368175537,2752.10288159154
"18",9,2657.55123529385,2674.52228339378,2711.09868620875,2720.06698830706,2735.9368175537,2752.10288159154
"19",10,2657.55131788589,2674.50597714523,2711.06831510739,2720.03783924406,2735.91000494216,2752.07268056875
"20",10,2657.55131788589,2674.50597714523,2711.06831510739,2720.03783924406,2735.91000494216,2752.07268056875
"21",11,2657.55139047506,2674.51603011259,2711.07912358509,2720.04741091949,2735.92295056283,2752.07627321048
"22",11,2657.55139047506,2674.51603011259,2711.07912358509,2720.04741091949,2735.92295056283,2752.07627321048
"23",12,2657.5514704845,2674.48300493477,2711.04707006882,2720.01964856987,2735.90367714112,2752.05631313206
"24",12,2657.5514704845,2674.48300493477,2711.04707006882,2720.01964856987,2735.90367714112,2752.05631313206
"25",13,2657.55154722368,2674.48268241223,2711.04295426894,2720.01594919225,2735.89004519526,2752.05972618737
"26",13,2657.55154722368,2674.48268241223,2711.04295426894,2720.01594919225,2735.89004519526,2752.05972618737
"27",14,2657.55162580905,2674.48660249463,2711.06500264513,2720.04004884587,2735.9332324322,2752.08115509114
"28",14,2657.55162580905,2674.48660249463,2711.06500264513,2720.04004884587,2735.9332324322,2752.08115509114
"29",15,2657.55171594668,2674.47773228588,2711.03759656875,2720.01258493486,2735.89993673774,2752.05931216017
"30",15,2657.55171594668,2674.47773228588,2711.03759656875,2720.01258493486,2735.89993673774,2752.05931216017
"31",16,2657.55179202477,2674.45723320797,2711.02918314099,2720.00858345273,2735.90395068682,2752.05247878394
"32",16,2657.55179202477,2674.45723320797,2711.02918314099,2720.00858345273,2735.90395068682,2752.05247878394
"33",17,2657.5518909434,2674.4809616105,2711.02139390396,2720.00078547217,2735.91066095503,2752.0421104841
"34",17,2657.5518909434,2674.4809616105,2711.02139390396,2720.00078547217,2735.91066095503,2752.0421104841
"35",18,2657.55198444048,2674.45082787692,2711.01396315671,2719.99368143756,2735.87665473328,2752.01676419974
"36",18,2657.55198444048,2674.45082787692,2711.01396315671,2719.99368143756,2735.87665473328,2752.01676419974
"37",19,2657.5520970256,2674.44510666699,2710.99199960746,2719.970409827,2735.87211290838,2751.98138194211
"38",19,2657.5520970256,2674.44510666699,2710.99199960746,2719.970409827,2735.87211290838,2751.98138194211
"39",20,2657.55217691515,2674.44624262665,2710.99713893211,2719.97494781373,2735.88668968346,2751.97029858045
"40",20,2657.55217691515,2674.44624262665,2710.99713893211,2719.97494781373,2735.88668968346,2751.97029858045
"41",21,2657.55228996257,2674.50968443072,2711.05419921257,2720.02607280681,2735.92895814213,2751.99467888885
"42",21,2657.55228996257,2674.50968443072,2711.05419921257,2720.02607280681,2735.92895814213,2751.99467888885
"43",22,2657.55238695333,2674.4529109443,2711.01422890698,2719.98444602877,2735.87467622927,2751.92460933131
"44",22,2657.55238695333,2674.4529109443,2711.01422890698,2719.98444602877,2735.87467622927,2751.92460933131
"45",23,2657.55247353887,2674.45524466028,2711.02163005153,2719.99517483734,2735.88735534822,2751.90935088935
"46",23,2657.55247353887,2674.45524466028,2711.02163005153,2719.99517483734,2735.88735534822,2751.90935088935
"47",24,2657.55258807824,2674.4648207635,2711.04039892258,2720.01227185633,2735.92177300968,2751.88791857193
"48",24,2657.55258807824,2674.4648207635,2711.04039892258,2720.01227185633,2735.92177300968,2751.88791857193
"49",25,2657.55267760854,2674.52120953352,2711.06932746177,2720.03484249581,2735.58698056694,2751.26091309893
"50",25,2657.55267760854,2674.52120953352,2711.06932746177,2720.03484249581,2735.58698056694,2751.26091309893
"51",26,2657.55277628537,2674.45453657098,2711.02984595463,2719.99348984091,2735.54607529744,2751.26659132514
"52",26,2657.55277628537,2674.45453657098,2711.02984595463,2719.99348984091,2735.54607529744,2751.26659132514
"53",27,2657.55288780478,2674.50301572198,2711.0705688856,2720.03911101932,2735.58875729263,2751.37689376633
"54",27,2657.55288780478,2674.50301572198,2711.0705688856,2720.03911101932,2735.58875729263,2751.37689376633
"55",28,2657.55297609497,2673.53654058257,2710.84681779886,2719.79738717789,2735.35415720029,2751.15435737593
"56",28,2657.55297609497,2673.53654058257,2710.84681779886,2719.79738717789,2735.35415720029,2751.15435737593
"57",29,2657.55306800719,2673.53679140387,2710.86673069605,2719.81643795778,2735.37239979616,2751.18653815563
"58",29,2657.55306800719,2673.53679140387,2710.86673069605,2719.81643795778,2735.37239979616,2751.18653815563
"59",30,2657.55317028821,2673.53649099433,2710.85700689489,2719.8044621403,2735.36095675416,2751.20898543833
"60",30,2657.55317028821,2673.53649099433,2710.85700689489,2719.8044621403,2735.36095675416,2751.20898543833
"61",31,2657.5532744501,2673.53823678228,2710.87012860359,2719.82007126948,2735.37548232244,2751.25852677799
"62",31,2657.5532744501,2673.53823678228,2710.87012860359,2719.82007126948,2735.37548232244,2751.25852677799
"63",32,2657.55338769779,2673.5358066993,2710.83900429164,2719.78857379237,2735.34575094479,2751.1980139812
"64",32,2657.55338769779,2673.5358066993,2710.83900429164,2719.78857379237,2735.34575094479,2751.1980139812
"65",33,2657.55351002223,2673.53289538777,2710.84172267334,2719.78702343703,2735.34270844351,2751.19782338726
"66",33,2657.55351002223,2673.53289538777,2710.84172267334,2719.78702343703,2735.34270844351,2751.19782338726
"67",34,2657.55363928715,2673.53411096613,2710.81854521848,2719.76853736682,2735.32340570878,2751.19153983768
"68",34,2657.55363928715,2673.53411096613,2710.81854521848,2719.76853736682,2735.32340570878,2751.19153983768
"69",35,2657.55376958757,2673.53337347901,2710.84192264378,2719.79569366227,2735.35185638473,2751.19483550057
"70",35,2657.55376958757,2673.53337347901,2710.84192264378,2719.79569366227,2735.35185638473,2751.19483550057
"71",36,2657.55390160807,2673.53371480167,2710.86222210534,2719.81222640932,2735.36656383419,2751.24600394229
"72",36,2657.55390160807,2673.53371480167,2710.86222210534,2719.81222640932,2735.36656383419,2751.24600394229
"73",37,2657.55403431184,2673.53563886866,2710.87368254559,2719.82996670577,2735.38377544081,2750.9393295854
"74",37,2657.55403431184,2673.53563886866,2710.87368254559,2719.82996670577,2735.38377544081,2750.9393295854
"75",38,2657.55415378377,2673.53453072023,2710.8807732322,2719.83546378159,2735.3869455345,2750.99487893332
"76",38,2657.55415378377,2673.53453072023,2710.8807732322,2719.83546378159,2735.3869455345,2750.99487893332
"77",39,2657.55429407513,2673.53331453978,2710.90952210276,2719.86049374753,2735.41216966779,2751.11395209893
"78",39,2657.55429407513,2673.53331453978,2710.90952210276,2719.86049374753,2735.41216966779,2751.11395209893
