"LR - Additive","LR - Dominant","LR - Full","LR - D-Additive","LR - D-Dominant","LR - D-Full","DF - Additive","DF - Dominant","DF - Full","DF - D-Additive","DF - D-Dominant","DF - D-Full","P-Val - Additive","P-Val - Dominant","P-Val - Full","P-Val - Main","P-Val - Add-D","P-Val - Dom-D","P-Val - Full-D","P-Val - Diet"
9.31934294708585,33.3261440354283,49.6734458400267,58.0250190713011,69.2159002618085,92.2786998962302,8,35,63,71,98,126,1.77170048814363,2.1162606596371,0.607000546167028,2.62380681537742,1.47686529239861,0.144035903498333,1.77176285770417,1.4854935586145
9.31930758055781,33.3305324719704,49.6725341239785,58.0239375959936,69.2135440994525,92.2831110253161,8,35,63,71,98,126,1.77168950460311,2.11724898084,0.606292713476925,2.62364360676009,1.47681464083793,0.143955609496446,1.7731674570596,1.48624740001138
9.31928182873314,33.3351186487211,49.6728243337913,58.0243805549599,69.2083775794592,92.2883970626452,8,35,63,71,98,126,1.77168150704425,2.11827949430363,0.605719272506455,2.62369555753646,1.47686021702629,0.143602580717271,1.77533773469098,1.48695508098852
9.31925379597923,33.3386413720513,49.6731416930708,58.025230173516,69.2019729929616,92.2819145577056,8,35,63,71,98,126,1.77167280112227,2.11907300728465,0.605291574337113,2.62375236882092,1.47701903121745,0.143146812353777,1.77532155290663,1.48599188668346
9.31922408221953,33.3496847427612,49.676932819657,58.029193812942,69.1991285953671,92.2869400973117,8,35,63,71,98,126,1.77166357315281,2.12154822263492,0.604324414192446,2.62443106448064,1.4770705060057,0.142719865889583,1.77695621326822,1.48616671971878
9.31919847395728,33.3473191120265,49.6826770060456,58.0358844293733,69.2053442804533,92.2957372727618,8,35,63,71,98,126,1.77165562020365,2.12102506716845,0.60540598818774,2.62545952958141,1.47735291134021,0.142690110474007,1.77749252930022,1.48659916113538
9.31916677685052,33.3549285064187,49.6853532320631,58.0387885338903,69.1984917957455,92.3000236413246,8,35,63,71,98,126,1.77164577630215,2.12273353341265,0.604747963434257,2.62593874603254,1.47742090986921,0.142079663781826,1.77980733248382,1.48682725247803
9.31912591971487,33.3669158630183,49.6873134252028,58.0400864318285,69.19783161497,92.3054806981877,8,35,63,71,98,126,1.77163308766524,2.12542383792127,0.603411493121962,2.62628976789102,1.47722328417226,0.141957340635127,1.78107903026899,1.48732266805529
9.31909682880652,33.3677900206774,49.6972818239491,58.0513943172453,69.2071082834951,92.3170044799507,8,35,63,71,98,126,1.77162405317249,2.12562590970104,0.604623560543646,2.62807513905027,1.4776229867965,0.141830515302069,1.78154625797367,1.48754304911669
9.31906388329763,33.3758577269837,49.6972836842898,58.0512758845293,69.1972396244047,92.3175661112878,8,35,63,71,98,126,1.77161382160406,2.12743844551759,0.603548499093799,2.62807547228654,1.47758709035475,0.141222676911073,1.78371552856721,1.48762236616649
9.31902482485465,33.3816655229323,49.6985510751614,58.0525672257213,69.1891784811006,92.3158334925002,8,35,63,71,98,126,1.77160169161691,2.12874700831812,0.602943722030551,2.62830249931665,1.47759423731229,0.140641107097823,1.78503217748646,1.48719729992671
9.31899823715259,33.3854188037569,49.7005114997272,58.0550219526613,69.1866885523254,92.3174109364235,8,35,63,71,98,126,1.77159343455216,2.12959310865706,0.602704993641126,2.62865368392221,1.47774174266182,0.140334214031794,1.7858785754047,1.48714303989981
9.31896696290572,33.3837252768294,49.7041573172304,58.0593051788457,69.1877359862235,92.32441018361,8,35,63,71,98,126,1.77158372204658,2.12922100987845,0.603416086180604,2.62930683268865,1.4779319575057,0.14013360076567,1.78711737081355,1.48761817751239
9.31892949079752,33.3949482045226,49.7108437673396,58.0669585332426,69.1877355448345,92.327823608299,8,35,63,71,98,126,1.77157208475284,2.13174209569527,0.602811894181257,2.6305048731382,1.47822051078444,0.139659766064049,1.78782806137591,1.48715443136282
9.31888489426625,33.3967998571765,49.7095703275183,58.0656740265564,69.1799282453747,92.3284491388474,8,35,63,71,98,126,1.77155823492771,2.13216674333883,0.602395842660425,2.63027668921688,1.47821720802665,0.139256711857723,1.7895840161271,1.4874234836113
9.31884921205782,33.4057960440982,49.7188009132561,58.0757033109478,69.1821459323119,92.341159979915,8,35,63,71,98,126,1.77154715353643,2.13418973237024,0.602427044108231,2.631930862681,1.47845557329114,0.13877494259388,1.79176983957377,1.48791663297945
9.31880130180971,33.4211936850638,49.7184917379888,58.0752150704689,69.1628920936351,92.334277866384,8,35,63,71,98,126,1.77153227465399,2.1376507523273,0.600337941474226,2.63187545025362,1.47840213193737,0.137621707468282,1.79434819802019,1.48698531327369
9.31872041340601,33.4166977270968,49.6373948970335,57.9880039260473,69.0038786828481,92.2420027568809,8,35,63,71,98,126,1.77150715422094,2.13666123943647,0.59019833453873,2.61735621678468,1.47657760586946,0.13326260899425,1.80827950351178,1.48540205330313
9.31863259213974,33.4296963954355,49.5549416706409,57.8993764622417,68.8488870202495,92.1458232414727,8,35,63,71,98,126,1.77147988082635,2.13959464721968,0.577677166886344,2.60262581251292,1.47473571889774,0.129308947255816,1.82058770346672,1.48345891368462
9.318539722261,33.4348374868794,49.4616068102709,57.7989353133791,68.6680995164249,92.0293585393526,8,35,63,71,98,126,1.77145103965284,2.1407682410488,0.564892303171511,2.58599002939084,1.47261643625997,0.124618833668259,1.83408275204399,1.4801871083317
9.3184522436252,33.448790893677,49.3573339777144,57.6853937532799,68.4777410556105,91.9003637518728,8,35,63,71,98,126,1.77142387284563,2.14391763415404,0.549722865117526,2.56745336942364,1.46985330749229,0.12023332682181,1.84698953005046,1.47669360957932
