"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
"1",1,2662.74576473778,2696.56699613324,2714.06553941459,2723.6544175816,2737.2207356043,2752.03441969636
"2",1,2662.74576473778,2696.56699613324,2714.06553941459,2723.6544175816,2737.2207356043,2752.03441969636
"3",2,2662.74572966079,2696.5633394862,2714.03477857362,2723.63279414195,2737.20537149846,2752.02133155196
"4",2,2662.74572966079,2696.5633394862,2714.03477857362,2723.63279414195,2737.20537149846,2752.02133155196
"5",3,2662.74573493076,2696.55391753742,2714.03439011589,2723.62896176545,2737.20110113194,2752.02774251334
"6",3,2662.74573493076,2696.55391753742,2714.03439011589,2723.62896176545,2737.20110113194,2752.02774251334
"7",4,2662.74566980051,2696.58963326503,2714.10081211324,2723.68232081022,2737.24676681255,2752.08121807597
"8",4,2662.74566980051,2696.58963326503,2714.10081211324,2723.68232081022,2737.24676681255,2752.08121807597
"9",5,2662.74567229805,2696.55457485308,2714.06800504337,2723.6557582539,2737.230513739,2752.06159475522
"10",5,2662.74567229805,2696.55457485308,2714.06800504337,2723.6557582539,2737.230513739,2752.06159475522
"11",6,2662.74563402755,2696.56474064976,2714.05826825669,2723.64526994668,2737.21618349105,2752.05961235037
"12",6,2662.74563402755,2696.56474064976,2714.05826825669,2723.64526994668,2737.21618349105,2752.05961235037
"13",7,2662.74557085279,2696.56599572033,2714.04289810365,2723.63000014324,2737.19907035977,2752.04486486253
"14",7,2662.74557085279,2696.56599572033,2714.04289810365,2723.63000014324,2737.19907035977,2752.04486486253
"15",8,2662.74552973962,2696.56587244361,2714.00994991175,2723.60428560573,2737.17762241392,2752.01900636114
"16",8,2662.74552973962,2696.56587244361,2714.00994991175,2723.60428560573,2737.17762241392,2752.01900636114
"17",9,2662.74554224354,2696.41237070261,2713.95083096305,2723.54453423297,2737.10938724671,2751.91425974981
"18",9,2662.74554224354,2696.41237070261,2713.95083096305,2723.54453423297,2737.10938724671,2751.91425974981
"19",10,2662.74545697034,2696.4117596701,2713.91407605525,2723.510291043,2737.07763420623,2751.87810691016
"20",10,2662.74545697034,2696.4117596701,2713.91407605525,2723.510291043,2737.07763420623,2751.87810691016
"21",11,2662.74544666639,2696.41734658843,2713.93678539487,2723.53033305059,2737.09719859079,2751.90627859369
"22",11,2662.74544666639,2696.41734658843,2713.93678539487,2723.53033305059,2737.09719859079,2751.90627859369
"23",12,2662.74542434175,2696.42534759744,2713.92040466691,2723.51796598579,2737.08146020519,2751.90371901231
"24",12,2662.74542434175,2696.42534759744,2713.92040466691,2723.51796598579,2737.08146020519,2751.90371901231
"25",13,2662.74536632645,2696.43747401426,2713.95414382146,2723.55180173277,2737.12010379323,2751.93636636835
"26",13,2662.74536632645,2696.43747401426,2713.95414382146,2723.55180173277,2737.12010379323,2751.93636636835
