"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
"1",1,2651.19074223836,2679.90781938027,2702.38294766542,2703.5029836339,2714.22903611205,2725.37588438741
"2",1,2651.19074223836,2679.90781938027,2702.38294766542,2703.5029836339,2714.22903611205,2725.37588438741
"3",2,2651.19078960343,2679.88595220377,2702.37751385966,2703.49760635329,2714.23141308516,2725.38360129632
"4",2,2651.19078960343,2679.88595220377,2702.37751385966,2703.49760635329,2714.23141308516,2725.38360129632
"5",3,2651.19084179818,2679.87922106885,2702.37936054212,2703.50003709894,2714.22462986911,2725.37578042751
"6",3,2651.19084179818,2679.87922106885,2702.37936054212,2703.50003709894,2714.22462986911,2725.37578042751
"7",4,2651.19087837275,2679.88481887587,2702.36487892278,2703.48505844457,2714.20160729883,2725.35410358887
"8",4,2651.19087837275,2679.88481887587,2702.36487892278,2703.48505844457,2714.20160729883,2725.35410358887
"9",5,2651.19093117942,2679.8795367789,2702.35459847872,2703.47419195091,2714.19416844177,2725.33977178567
"10",5,2651.19093117942,2679.8795367789,2702.35459847872,2703.47419195091,2714.19416844177,2725.33977178567
"11",6,2651.19097556033,2679.9013873772,2702.38238391737,2703.50215798713,2714.2258203535,2725.37086419001
"12",6,2651.19097556033,2679.9013873772,2702.38238391737,2703.50215798713,2714.2258203535,2725.37086419001
"13",7,2651.19103815523,2679.88233748017,2702.36572688869,2703.48573050276,2714.20536036409,2725.34651563731
"14",7,2651.19103815523,2679.88233748017,2702.36572688869,2703.48573050276,2714.20536036409,2725.34651563731
"15",8,2651.191097973,2679.88804040128,2702.38538947972,2703.50591654598,2714.23142912412,2725.37393284121
"16",8,2651.191097973,2679.88804040128,2702.38538947972,2703.50591654598,2714.23142912412,2725.37393284121
"17",9,2651.19115732364,2679.87999520509,2702.37433710786,2703.49423556705,2714.2203292666,2725.36207777434
"18",9,2651.19115732364,2679.87999520509,2702.37433710786,2703.49423556705,2714.2203292666,2725.36207777434
"19",10,2651.19121750599,2679.87075135086,2702.36947015494,2703.48951025909,2714.20977540229,2725.35078599845
"20",10,2651.19121750599,2679.87075135086,2702.36947015494,2703.48951025909,2714.20977540229,2725.35078599845
"21",11,2651.19127369898,2679.88212460748,2702.39358164385,2703.51383916304,2714.23042867668,2725.36571920903
"22",11,2651.19127369898,2679.88212460748,2702.39358164385,2703.51383916304,2714.23042867668,2725.36571920903
"23",12,2651.19132704529,2679.89178206207,2702.38679236824,2703.50638974631,2714.22780676279,2725.36098109687
"24",12,2651.19132704529,2679.89178206207,2702.38679236824,2703.50638974631,2714.22780676279,2725.36098109687
"25",13,2651.19139759312,2679.86527497688,2702.37192046821,2703.49252939825,2714.21431683825,2725.34708220581
"26",13,2651.19139759312,2679.86527497688,2702.37192046821,2703.49252939825,2714.21431683825,2725.34708220581
"27",14,2651.19146639621,2679.85232906204,2702.35755246819,2703.47750260747,2714.19005980696,2725.32443537926
"28",14,2651.19146639621,2679.85232906204,2702.35755246819,2703.47750260747,2714.19005980696,2725.32443537926
